No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,5,2900,36366
1,2020,2,12,15,2900,36366
2,2020,2,9,14,2900,36366
3,2020,2,7,9,2900,36366
4,2020,2,21,19,2880,36366
5,2020,2,22,9,2400,103681
6,2020,3,25,11,2800,57598
7,2020,2,22,1,2799,57598
8,2020,2,3,15,2400,103681
9,2020,2,25,0,2799,57598
10,2020,2,24,21,2799,57598
11,2020,2,2,8,2400,103681
12,2020,2,24,1,2880,36366
13,2020,2,12,18,2400,103681
14,2020,2,24,4,2400,103681
15,2020,2,6,1,2400,103681
16,2020,2,18,5,2850,57598
17,2020,2,8,9,2400,103681
18,2020,2,4,17,2900,36366
19,2020,2,10,5,2900,36366
20,2020,2,20,12,2400,103681
21,2020,2,22,14,2880,36366
22,2020,2,3,3,2900,36366
23,2020,2,14,4,2400,103681
24,2020,2,14,3,2850,57598
25,2020,2,10,2,2400,103681
26,2020,2,23,9,2880,36366
27,2020,2,13,5,2850,57598
28,2020,2,8,7,2900,36366
29,2020,2,13,0,2900,36366
30,2020,2,23,2,2400,103681
31,2020,2,18,3,2880,36366
32,2020,2,25,7,2880,36366
33,2020,2,21,4,2799,57598
34,2020,2,12,19,2850,57598
35,2020,2,5,9,2900,36366
36,2020,2,2,16,2900,36366
37,2020,2,7,9,2400,103681
38,2020,2,5,12,2400,103681
39,2020,2,20,22,2880,36366
40,2020,2,4,15,2400,103681
41,2020,2,13,5,2400,103681
42,2020,2,20,6,2850,57598
43,2020,2,23,17,2799,57598
44,2020,2,9,10,2400,103681
45,2020,2,19,21,2880,36366
46,2020,2,6,21,2900,36366
47,2020,2,20,23,2799,57598
48,2020,2,17,13,2900,36366
49,2020,2,21,10,2400,103681
50,2020,2,19,10,2850,57598
51,2020,2,17,20,2400,103681
52,2020,2,18,3,2400,103681
53,2020,2,19,22,2400,103681
54,2020,2,17,19,2850,57598
55,2020,2,25,9,2400,103681
