No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,7,3180,38282
1,2020,2,22,23,3180,38282
2,2020,2,12,6,3180,38282
3,2020,2,12,15,3100,49139
4,2020,2,21,8,3180,38282
5,2020,2,10,3,3100,49139
6,2020,2,23,1,3180,38282
7,2020,2,9,8,3100,49139
8,2020,2,24,15,3180,38282
9,2020,2,6,12,3100,49139
10,2020,2,23,22,3100,49139
11,2020,2,13,12,3180,38282
12,2020,2,13,1,3100,49139
13,2020,2,6,18,3180,38282
14,2020,2,5,9,3240,38282
15,2020,2,5,2,3100,49139
16,2020,2,7,10,3100,49139
17,2020,2,10,4,3180,38282
18,2020,2,20,11,3100,49139
19,2020,2,17,14,3100,49139
20,2020,2,18,3,3180,38282
21,2020,2,8,17,3180,38282
22,2020,4,3,15,2750,48324
23,2020,2,8,4,3100,49139
24,2020,2,3,15,3240,38282
25,2020,2,17,18,3180,38282
26,2020,2,18,8,3100,49139
27,2020,2,7,10,3180,38282
28,2020,2,3,14,3100,49139
29,2020,2,4,16,3240,38282
30,2020,2,4,16,3100,49139
31,2020,2,19,14,3180,38282
32,2020,2,25,7,3180,38282
33,2020,2,14,5,3100,49139
34,2020,2,9,23,3180,38282
35,2020,2,19,19,3100,49139
36,2020,2,21,19,3100,49139
37,2020,2,22,4,3100,49139
38,2020,2,24,20,3100,49139
39,2020,2,6,1,3240,38282
40,2020,2,14,7,3180,38282
41,2020,4,9,11,2750,48324
42,2020,2,2,13,3280,38282
43,2020,5,6,8,2790,48324
44,2020,3,25,11,2750,48324
45,2020,2,2,15,3100,49139
46,2020,4,2,3,2750,48324
47,2020,2,25,7,3100,49139
