No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,17,1750,57300
1,2020,4,23,2,1290,155212
2,2020,2,20,21,1570,106690
3,2020,2,23,4,1750,57300
4,2020,2,14,7,1750,57300
5,2020,2,21,11,1750,57300
6,2020,2,24,12,1750,57300
7,2020,2,18,8,1750,57300
8,2020,2,22,23,1750,57300
9,2020,2,8,13,1750,57300
10,2020,2,13,14,1570,106690
11,2020,2,12,22,1750,57300
12,2020,2,13,9,1499,91653
13,2020,2,7,21,1750,57300
14,2020,2,13,5,1750,57300
15,2020,2,5,7,1750,57300
16,2020,2,20,4,1750,57300
17,2020,2,7,10,1570,106690
18,2020,2,3,12,1570,106690
19,2020,2,10,6,1750,57300
20,2020,2,10,11,1500,91653
21,2020,2,2,23,1570,106690
22,2020,2,12,5,1570,106690
23,2020,2,14,0,1499,91653
24,2020,2,9,8,1750,57300
25,2020,2,12,10,1499,91653
26,2020,2,18,7,1499,91653
27,2020,2,14,5,1570,106690
28,2020,2,19,20,1750,57300
29,2020,2,4,1,1570,106690
30,2020,2,4,17,1750,57300
31,2020,2,19,19,1570,106690
32,2020,2,21,5,1570,106690
33,2020,2,6,11,1500,91653
34,2020,2,24,0,1570,106690
35,2020,2,22,6,1570,106690
36,2020,2,9,5,1570,106690
37,2020,2,5,4,1570,106690
38,2020,2,8,11,1570,106690
39,2020,2,20,3,1499,91653
40,2020,2,17,20,1499,91653
41,2020,2,17,18,1750,57300
42,2020,2,7,18,1500,91653
43,2020,2,19,17,1499,91653
44,2020,4,9,11,1290,155212
45,2020,2,8,12,1500,91653
46,2020,2,10,3,1570,106690
47,2020,2,9,18,1500,91653
48,2020,2,6,13,1570,106690
49,2020,2,25,6,1570,106690
50,2020,2,25,7,1750,57300
51,2020,2,23,3,1570,106690
52,2020,3,25,11,1290,155212
53,2020,2,17,19,1570,106690
