No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,11,3650,126000
1,2020,2,6,0,3650,126000
2,2020,2,24,6,4200,52500
3,2020,2,12,23,3650,126000
4,2020,2,23,20,4330,50762
5,2020,2,21,21,4330,50762
6,2020,2,6,11,4200,52500
7,2020,2,24,2,4330,50762
8,2020,2,4,1,4200,52500
9,2020,2,4,20,3650,126000
10,2020,2,13,10,4200,52500
11,2020,2,21,19,4200,52500
12,2020,2,3,12,4200,52500
13,2020,2,2,20,4200,52500
14,2020,2,14,5,4200,52500
15,2020,2,3,18,3650,126000
16,2020,2,5,13,3650,126000
17,2020,2,8,5,3650,126000
18,2020,2,22,4,4330,50762
19,2020,2,7,20,4200,52500
20,2020,2,8,7,4200,52500
21,2020,2,10,6,3650,126000
22,2020,4,9,10,4200,52500
23,2020,2,9,15,3650,126000
24,2020,2,22,8,4200,52500
25,2020,2,13,14,3650,126000
26,2020,2,18,3,3650,126000
27,2020,2,10,15,4200,52500
28,2020,2,9,22,4200,52500
29,2020,2,20,6,3650,126000
30,2020,2,20,9,4330,50762
31,2020,2,23,20,3650,126000
32,2020,2,23,6,4200,52500
33,2020,2,24,10,3650,126000
34,2020,2,19,21,4200,52500
35,2020,2,21,9,3650,126000
36,2020,2,12,17,4200,52500
37,2020,2,5,2,4200,52500
38,2020,2,19,22,3650,126000
39,2020,2,17,14,4200,52500
40,2020,2,17,18,3650,126000
41,2020,2,7,10,3650,126000
42,2020,2,20,7,4200,52500
43,2020,4,3,14,4200,52500
44,2020,2,14,8,3650,126000
45,2020,2,18,7,4200,52500
46,2020,2,25,0,4330,50762
47,2020,5,6,8,3680,56459
48,2020,4,2,5,3860,66999
