No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,6,4550,14682
1,2020,2,22,4,4550,14682
2,2020,2,23,0,4550,14682
3,2020,2,14,7,4550,14682
4,2020,2,12,10,4550,14682
5,2020,4,3,13,4350,14682
6,2020,2,21,8,4550,28663
7,2020,2,24,2,4550,28663
8,2020,2,21,6,4550,14682
9,2020,5,27,6,4550,6800
10,2020,4,2,3,4399,28663
11,2020,2,20,2,4550,14682
12,2020,2,25,4,4550,14682
13,2020,2,23,18,4550,28663
14,2020,2,19,16,4550,14682
15,2020,2,24,23,4550,14682
16,2020,2,18,3,4550,14682
17,2020,2,17,19,4550,14682
18,2020,2,10,18,4590,14682
19,2020,2,22,0,4550,28663
20,2020,2,25,4,4550,28663
21,2020,4,2,3,4380,14682
22,2020,3,25,12,4450,28663
