No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,6,7550,28795
1,2020,2,21,2,7550,28795
2,2020,2,12,16,7550,28795
3,2020,2,17,21,7550,28795
4,2020,2,13,2,7550,28795
5,2020,2,24,5,7550,28795
6,2020,2,8,23,7550,28795
7,2020,2,25,2,7550,28795
8,2020,2,9,8,7550,28795
9,2020,4,3,14,7780,28795
10,2020,4,9,10,7780,28795
11,2020,2,22,10,7550,28795
12,2020,2,25,10,7950,28795
13,2020,2,10,1,7550,28795
14,2020,2,23,7,7550,28795
15,2020,2,14,8,7550,28795
16,2020,3,25,11,7950,28795
17,2020,2,19,10,7550,28795
18,2020,2,18,6,7550,28795
