No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,0,7250,25026
1,2020,2,7,15,7250,25026
2,2020,2,13,6,7250,25026
3,2020,2,14,7,7250,25026
4,2020,2,8,10,7250,25026
5,2020,2,12,17,7250,25026
6,2020,2,4,22,7250,25026
7,2020,2,25,9,7250,25026
8,2020,2,22,21,7250,25026
9,2020,2,18,8,7250,25026
10,2020,2,3,21,7250,25026
11,2020,2,21,21,7250,25026
12,2020,2,19,23,7250,25026
13,2020,2,10,6,7250,25026
14,2020,2,20,23,7250,25026
15,2020,2,5,15,7250,25026
16,2020,2,23,15,7250,25026
17,2020,2,2,16,7250,25026
18,2020,2,24,2,7250,25026
19,2020,2,6,4,7250,25026
20,2020,2,17,21,7250,25026
