No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,6,480,199368
1,2020,2,12,19,480,199368
2,2020,2,20,15,480,199368
3,2020,2,3,14,480,199368
4,2020,2,24,6,480,199368
5,2020,2,2,22,480,199368
6,2020,2,9,5,480,199368
7,2020,2,8,9,480,199368
8,2020,2,19,21,480,199368
9,2020,2,6,7,480,199368
10,2020,2,18,5,480,199368
11,2020,2,10,9,480,199368
12,2020,2,21,11,480,199368
13,2020,2,4,1,480,199368
14,2020,2,25,2,480,199368
15,2020,2,14,6,480,199368
16,2020,2,23,3,480,199368
17,2020,2,7,22,480,199368
18,2020,2,5,9,480,199368
19,2020,2,17,19,480,199368
20,2020,2,22,2,480,199368
