No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,17,20,7450,86097
1,2020,2,5,21,7590,86097
2,2020,2,23,16,7450,86097
3,2020,2,22,15,8690,34923
4,2020,2,22,19,7450,86097
5,2020,2,6,21,7450,86097
6,2020,2,14,0,7450,86097
7,2020,2,12,10,7450,86097
8,2020,2,13,15,7450,86097
9,2020,2,13,12,8690,34923
10,2020,2,10,12,7450,86097
11,2020,2,7,8,8690,34923
12,2020,2,4,21,7590,86097
13,2020,2,25,6,8690,34923
14,2020,2,12,4,7090,34923
15,2020,2,17,20,8690,34923
16,2020,3,25,11,7800,39500
17,2020,2,7,8,7450,86097
18,2020,2,3,17,8690,34923
19,2020,2,4,2,8690,34923
20,2020,2,6,17,8690,34923
21,2020,2,24,18,7450,86097
22,2020,2,23,15,8690,34923
23,2020,2,21,20,8690,34923
24,2020,2,8,0,7450,86097
25,2020,2,20,4,7450,86097
26,2020,2,14,1,8690,34923
27,2020,2,5,6,8690,34923
28,2020,4,3,13,7150,86097
29,2020,2,21,1,7450,86097
30,2020,2,9,17,8690,34923
31,2020,4,2,4,8690,34923
32,2020,2,10,15,8690,34923
33,2020,4,9,11,7800,39500
34,2020,2,2,15,8690,34923
35,2020,2,20,7,8690,34923
36,2020,2,9,2,7450,86097
37,2020,2,24,17,8690,34923
38,2020,2,19,19,8690,34923
39,2020,4,3,15,7800,39500
40,2020,2,27,12,8690,34923
41,2020,2,25,7,7450,86097
42,2020,2,19,23,7450,86097
43,2020,2,8,16,8690,34923
44,2020,4,3,13,8690,34923
45,2020,2,6,1,7590,86097
46,2020,2,18,5,7450,86097
47,2020,2,18,3,8690,34923
48,2020,3,25,12,7150,86097
49,2020,3,25,11,8690,34923
50,2020,4,9,10,7050,86097
