No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,14,6980,11717
1,2020,2,12,9,6980,11717
2,2020,2,4,10,6980,11717
3,2020,2,21,12,6980,11717
4,2020,2,19,15,6980,11717
5,2020,2,5,23,6980,11717
6,2020,2,20,18,6980,11717
7,2020,2,10,13,6980,11717
8,2020,2,23,1,6980,11717
9,2020,2,6,18,6980,11717
10,2020,2,3,13,6980,11717
11,2020,4,9,11,6440,11717
12,2020,2,8,7,6980,11717
13,2020,2,18,5,6980,11717
14,2020,2,7,20,6980,11717
15,2020,2,24,12,6980,11717
16,2020,4,2,4,6440,11717
17,2020,4,23,2,6440,11717
18,2020,2,14,6,6980,11717
19,2020,2,2,17,6980,11717
20,2020,2,9,16,6980,11717
21,2020,2,25,8,6980,11717
22,2020,4,3,14,6440,11717
23,2020,2,22,4,6980,11717
