No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,7,8100,5805
1,2020,2,18,10,8100,5805
2,2020,2,22,6,8100,5805
3,2020,2,14,3,8100,5805
4,2020,2,9,10,8100,5805
5,2020,2,21,0,8100,5805
6,2020,2,20,2,8100,5805
7,2020,2,6,2,8100,5805
8,2020,2,13,8,8100,5805
9,2020,2,8,11,8100,5805
10,2020,2,12,7,8100,5805
11,2020,2,2,23,8100,5805
12,2020,2,17,19,8100,5805
13,2020,2,7,1,8100,5805
14,2020,2,10,14,8100,5805
15,2020,2,3,5,8100,5805
16,2020,2,23,10,8100,5805
17,2020,2,4,4,8100,5805
18,2020,2,24,15,8100,5805
19,2020,2,19,18,8100,5805
