No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,3,6450,32700
1,2020,2,21,10,6450,32700
2,2020,2,5,16,6450,30700
3,2020,2,8,12,6450,32700
4,2020,2,19,11,6450,32700
5,2020,2,9,16,6450,32700
6,2020,2,22,3,6450,32700
7,2020,2,3,13,6450,30700
8,2020,2,10,7,6450,32700
9,2020,2,2,15,6450,30700
10,2020,2,20,15,6450,32700
11,2020,4,9,11,6450,32700
12,2020,2,23,3,6450,32700
13,2020,2,7,16,6450,32700
14,2020,2,14,9,6450,32700
15,2020,2,4,3,6450,30700
16,2020,4,2,3,6450,32700
17,2020,2,6,5,6450,30700
18,2020,2,25,4,6450,32700
19,2020,2,24,15,6450,32700
20,2020,2,12,21,6450,32700
21,2020,2,18,4,6450,32700
22,2020,4,3,15,6450,32700
23,2020,4,23,2,6450,32700
24,2020,3,25,11,6450,32700
25,2020,2,17,19,6450,32700
