No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,19,3249,113611
1,2020,2,13,20,3249,113611
2,2020,2,13,11,2530,160684
3,2020,2,3,17,3249,113611
4,2020,3,25,12,2530,161000
5,2020,2,12,6,3249,113611
6,2020,2,24,3,3249,113611
7,2020,2,14,10,2530,160684
8,2020,2,12,20,2530,160684
9,2020,2,21,22,2530,160684
10,2020,2,19,15,2530,160684
11,2020,2,23,23,3249,113611
12,2020,2,5,10,3249,113611
13,2020,2,22,12,2530,160684
14,2020,2,9,8,3249,113611
15,2020,2,10,12,3249,113611
16,2020,2,8,1,3249,113611
17,2020,2,24,19,2530,160684
18,2020,2,22,4,3249,113611
19,2020,2,2,16,3249,113611
20,2020,2,4,12,3249,113611
21,2020,4,2,3,3249,113611
22,2020,2,18,3,3249,113611
23,2020,2,21,2,3249,113611
24,2020,2,17,14,3249,113611
25,2020,2,14,2,3249,113611
26,2020,2,19,21,3249,113611
27,2020,2,23,1,2530,160684
28,2020,2,27,13,2530,161000
29,2020,2,6,22,3249,113611
30,2020,3,25,11,3249,113611
31,2020,2,18,5,2530,160684
32,2020,2,17,18,2530,160684
33,2020,2,20,10,2530,160684
34,2020,4,3,12,2530,161000
35,2020,2,20,20,3249,113611
36,2020,4,3,15,3249,113611
37,2020,2,25,5,3249,113611
38,2020,4,9,10,3249,113611
