No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,12,8580,18846
1,2020,2,7,20,8580,18846
2,2020,2,9,19,8580,18846
3,2020,2,25,10,8580,18846
4,2020,2,8,21,8580,18846
5,2020,2,21,22,8580,18846
6,2020,2,12,13,8580,18846
7,2020,2,4,13,8580,18846
8,2020,2,18,5,8580,18846
9,2020,2,13,0,8580,18846
10,2020,2,6,16,8580,18846
11,2020,2,5,18,8580,18846
12,2020,2,17,19,8580,18846
13,2020,2,10,10,8580,18846
14,2020,2,3,19,8580,18846
15,2020,2,2,14,8580,18846
16,2020,2,22,10,8580,18846
17,2020,2,14,9,8580,18846
18,2020,2,24,13,8580,18846
19,2020,4,9,12,7990,24157
20,2020,2,20,17,8580,18846
21,2020,4,2,4,7990,24157
22,2020,2,23,1,8580,18846
23,2020,4,23,2,7990,24157
24,2020,5,6,7,7790,24157
