No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,17,3850,67000
1,2020,2,5,19,3850,67000
2,2020,2,17,18,3850,67000
3,2020,2,12,10,3850,67000
4,2020,2,2,9,3850,67000
5,2020,2,10,8,3850,67000
6,2020,2,9,13,3850,67000
7,2020,2,22,21,3850,67000
8,2020,2,14,5,3850,67000
9,2020,2,3,12,3850,67000
10,2020,2,23,1,3850,67000
11,2020,2,7,4,3850,67000
12,2020,2,21,16,3850,67000
13,2020,4,3,15,3790,67000
14,2020,5,27,6,3790,67000
15,2020,2,8,12,3850,67000
16,2020,2,20,13,3850,67000
17,2020,2,4,4,3850,67000
18,2020,2,13,22,3850,67000
19,2020,2,19,22,3850,67000
20,2020,2,24,18,3790,67000
21,2020,2,18,9,3850,67000
22,2020,5,27,6,3560,80268
23,2020,2,25,11,3790,67000
