No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,21,5860,39741
1,2020,2,4,1,5860,39741
2,2020,2,27,13,5860,39741
3,2020,2,3,19,5860,39741
4,2020,2,21,12,5860,39741
5,2020,2,18,5,5860,39741
6,2020,2,19,11,5860,39741
7,2020,2,13,2,5860,39741
8,2020,2,6,14,5860,39741
9,2020,2,9,12,5860,39741
10,2020,2,24,4,5860,39741
11,2020,2,12,17,5860,39741
12,2020,2,2,9,5860,39741
13,2020,2,22,6,5860,39741
14,2020,2,23,15,5860,39741
15,2020,2,8,2,5860,39741
16,2020,2,25,4,5860,39741
17,2020,2,14,4,5860,39741
18,2020,2,10,6,5860,39741
19,2020,2,20,21,5860,39741
20,2020,2,5,22,5860,39741
