No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,17,14,2580,54295
1,2020,2,4,2,2580,54295
2,2020,2,10,7,2580,54295
3,2020,2,24,2,2580,54295
4,2020,2,12,17,2580,54295
5,2020,2,13,8,2580,54295
6,2020,2,14,10,2580,54295
7,2020,2,3,16,2580,54295
8,2020,2,6,12,2580,54295
9,2020,2,9,17,2580,54295
10,2020,2,25,5,2580,54295
11,2020,2,20,19,2580,54295
12,2020,2,2,12,2580,54295
13,2020,2,18,7,2580,54295
14,2020,2,21,13,2580,54295
15,2020,2,5,4,2580,54295
16,2020,2,19,19,2580,54295
17,2020,2,7,8,2580,54295
18,2020,3,25,12,2580,54295
19,2020,2,8,4,2580,54295
20,2020,2,23,8,2580,54295
21,2020,2,22,20,2580,54295
