No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,15,3590,94836
1,2020,4,23,2,3440,94836
2,2020,2,10,1,3590,94836
3,2020,2,24,22,3590,94836
4,2020,2,3,9,3490,94836
5,2020,2,13,23,3590,94836
6,2020,2,7,18,3490,94836
7,2020,2,17,20,3590,94836
8,2020,2,22,15,3590,94836
9,2020,2,14,8,3590,94836
10,2020,2,23,13,3590,94836
11,2020,2,8,19,3490,94836
12,2020,2,12,23,3590,94836
13,2020,2,21,23,3590,94836
14,2020,2,20,3,3590,94836
15,2020,2,6,11,3490,94836
16,2020,4,3,15,3490,94836
17,2020,2,4,4,3490,94836
18,2020,2,5,12,3490,94836
19,2020,2,9,8,3590,94836
20,2020,2,25,3,3590,94836
21,2020,5,6,8,2900,110388
22,2020,4,9,10,3440,94836
23,2020,2,9,0,3490,94836
24,2020,4,23,2,2900,110388
25,2020,2,18,4,3590,94836
26,2020,5,27,6,2850,110388
