No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,22,1400,89910
1,2020,2,6,6,1460,52979
2,2020,2,9,1,1899,20520
3,2020,2,7,22,1690,64646
4,2020,2,22,14,1550,52979
5,2020,2,13,22,1899,20520
6,2020,2,2,15,1430,52979
7,2020,2,12,16,1460,52979
8,2020,2,23,17,1899,20520
9,2020,2,4,8,1899,20520
10,2020,3,25,11,1690,64646
11,2020,2,13,14,1400,89910
12,2020,2,5,22,1899,20520
13,2020,2,24,5,1550,52979
14,2020,2,22,0,1899,20520
15,2020,2,3,20,1690,64646
16,2020,2,18,9,1460,52979
17,2020,2,20,14,1550,52979
18,2020,2,12,23,1899,20520
19,2020,2,21,22,1550,52979
20,2020,2,6,18,1400,89910
21,2020,2,23,21,1550,52979
22,2020,2,14,6,1460,52979
23,2020,2,21,13,1400,89910
24,2020,2,25,3,1550,52979
25,2020,2,13,1,1460,52979
26,2020,2,8,16,1460,52979
27,2020,2,23,18,1400,89910
28,2020,4,3,12,1550,52979
29,2020,2,24,12,1400,89910
30,2020,2,19,18,1899,20520
31,2020,2,14,3,1400,89910
32,2020,2,7,16,1460,52979
33,2020,2,12,15,1690,64646
34,2020,2,4,5,1430,52979
35,2020,2,9,21,1690,64646
36,2020,2,8,8,1690,64646
37,2020,2,9,21,1460,52979
38,2020,2,2,14,1690,64646
39,2020,2,14,4,1899,20520
40,2020,2,10,7,1460,52979
41,2020,2,20,5,1690,64646
42,2020,2,23,22,1690,64646
43,2020,2,5,13,1690,64646
44,2020,2,4,7,1690,64646
45,2020,4,2,3,1380,89910
46,2020,2,17,21,1899,20520
47,2020,5,6,9,1750,49955
48,2020,2,13,6,1690,64646
49,2020,2,24,7,1690,64646
50,2020,2,8,4,1899,20520
51,2020,2,21,19,1690,64646
52,2020,2,3,5,1400,89910
53,2020,2,4,23,1400,89910
54,2020,2,5,21,1430,52979
55,2020,2,7,20,1400,89910
56,2020,2,14,4,1690,64646
57,2020,2,12,10,1400,89910
58,2020,2,6,7,1899,20520
59,2020,2,8,4,1400,89910
60,2020,2,19,14,1550,52979
61,2020,2,3,10,1899,20520
62,2020,2,3,3,1430,52979
63,2020,2,5,17,1400,89910
64,2020,2,10,18,1690,64646
65,2020,2,25,5,1690,64646
66,2020,2,22,17,1690,64646
67,2020,4,2,4,1690,64646
68,2020,4,9,10,1690,64646
69,2020,2,21,23,1899,20520
70,2020,2,22,22,1400,89910
71,2020,2,10,11,1400,89910
72,2020,2,18,3,1400,89910
73,2020,2,6,6,1690,64646
74,2020,3,25,12,1550,52979
75,2020,2,25,3,1899,20520
76,2020,2,7,1,1899,20520
77,2020,2,20,17,1899,20520
78,2020,2,10,3,1899,20520
79,2020,2,17,14,1460,52979
80,2020,2,24,15,1899,20520
81,2020,2,20,9,1400,89910
82,2020,2,18,3,1899,20520
83,2020,2,25,3,1400,89910
84,2020,4,3,12,1380,89910
85,2020,2,19,18,1690,64646
86,2020,2,18,5,1690,64646
