No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,1,810,1995
1,2020,2,4,20,810,1995
2,2020,2,12,13,810,1995
3,2020,2,22,10,810,1995
4,2020,2,25,2,810,1995
5,2020,2,5,19,810,1995
6,2020,2,23,20,810,1995
7,2020,2,21,19,810,1995
8,2020,2,24,19,810,1995
9,2020,2,20,22,810,1995
10,2020,2,7,1,810,1995
11,2020,2,6,18,810,1995
12,2020,2,9,3,810,1995
13,2020,3,25,11,810,115939
14,2020,2,19,16,810,1995
15,2020,2,2,18,810,1995
16,2020,2,10,18,810,1995
17,2020,2,8,6,810,1995
18,2020,2,18,7,810,1995
19,2020,2,13,13,810,1995
20,2020,2,14,9,810,1995
21,2020,2,17,19,810,1995
22,2020,4,3,14,810,115939
23,2020,4,9,12,810,115939
