No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,6,2250,122610
1,2020,2,5,22,2250,122610
2,2020,2,14,3,2250,122610
3,2020,2,22,18,2250,122610
4,2020,2,4,4,2250,122610
5,2020,2,23,11,2250,122610
6,2020,2,19,17,2250,122610
7,2020,2,13,22,2250,122610
8,2020,2,25,0,2250,122610
9,2020,2,10,4,2250,122610
10,2020,4,3,15,2250,122610
11,2020,2,7,11,2250,122610
12,2020,2,12,8,2250,122610
13,2020,2,20,18,2250,122610
14,2020,2,24,6,2250,122610
15,2020,2,9,7,2250,122610
16,2020,2,6,19,2250,122610
17,2020,2,21,12,2250,122610
18,2020,2,2,13,2299,122610
19,2020,2,3,8,2250,122610
20,2020,2,17,18,2250,122610
21,2020,2,18,3,2250,122610
22,2020,3,25,12,2250,122610
