No,xyear,xmonth,xday,xhour,price,mileage
0,2020,5,6,23,1600,116476
1,2020,2,7,0,1790,84477
2,2020,2,7,4,1520,144947
3,2020,2,24,1,1699,84477
4,2020,2,4,10,1790,84477
5,2020,4,3,12,1220,201775
6,2020,2,20,9,1300,192834
7,2020,2,23,15,1699,84477
8,2020,2,13,3,1390,185342
9,2020,2,3,3,1520,144947
10,2020,2,4,2,1520,144947
11,2020,2,13,13,1750,84477
12,2020,2,12,14,1390,185342
13,2020,2,20,17,1730,84477
14,2020,2,12,22,1750,84477
15,2020,2,17,14,1520,144947
16,2020,2,8,13,1790,84477
17,2020,2,3,15,1300,192834
18,2020,2,23,18,1300,192834
19,2020,2,8,18,1300,192834
20,2020,2,25,0,1300,192834
21,2020,2,2,10,1520,144947
22,2020,2,5,18,1390,185342
23,2020,2,8,23,1520,144947
24,2020,2,4,18,1300,192834
25,2020,2,21,10,1730,84477
26,2020,2,20,13,1390,185342
27,2020,2,6,7,1390,185342
28,2020,2,9,23,1520,144947
29,2020,2,8,1,1390,185342
30,2020,2,12,13,1300,192834
31,2020,2,9,11,1390,185342
32,2020,2,13,21,1520,144947
33,2020,2,19,21,1750,84477
34,2020,2,5,3,1790,84477
35,2020,2,7,20,1390,185342
36,2020,2,22,8,1730,84477
37,2020,2,14,3,1520,144947
38,2020,4,2,4,1390,144947
39,2020,2,17,20,1300,192834
40,2020,2,9,8,1750,84477
41,2020,2,24,13,1390,185342
42,2020,2,13,5,1300,192834
43,2020,2,3,3,1390,185342
44,2020,2,25,2,1520,144947
45,2020,2,4,6,1390,185342
46,2020,2,5,5,1520,144947
47,2020,2,3,6,1790,84477
48,2020,2,9,8,1300,192834
49,2020,2,25,9,1699,84477
50,2020,2,10,7,1390,185342
51,2020,2,19,13,1390,185342
52,2020,2,5,4,1300,192834
53,2020,2,12,16,1520,144947
54,2020,2,23,11,1390,185342
55,2020,2,6,4,1300,192834
56,2020,2,2,14,1390,185342
57,2020,2,14,0,1300,192834
58,2020,2,14,9,1390,185342
59,2020,2,23,2,1730,84477
60,2020,2,2,13,1790,84477
61,2020,2,10,7,1750,84477
62,2020,2,18,6,1390,185342
63,2020,2,21,9,1390,185342
64,2020,2,6,8,1520,144947
65,2020,2,7,22,1300,192834
66,2020,2,18,9,1520,144947
67,2020,4,9,10,1220,201775
68,2020,2,20,11,1520,144947
69,2020,2,24,22,1520,144947
70,2020,2,6,8,1790,84477
71,2020,3,25,12,1390,144947
72,2020,2,9,3,1790,84477
73,2020,2,25,0,1390,185342
74,2020,2,18,4,1300,192834
75,2020,2,17,20,1750,84477
76,2020,2,22,3,1390,185342
77,2020,2,21,19,1520,144947
78,2020,2,22,17,1300,192834
79,2020,2,18,5,1750,84477
80,2020,2,21,15,1300,192834
81,2020,2,14,5,1750,84477
82,2020,2,20,3,1750,84477
83,2020,2,27,13,1390,185342
84,2020,4,3,12,1699,84477
85,2020,2,19,22,1300,192834
86,2020,2,10,6,1300,192834
87,2020,2,22,14,1520,144947
88,2020,2,27,12,1699,84477
89,2020,2,10,6,1520,144947
90,2020,2,2,10,1300,192834
91,2020,4,9,12,1470,140000
92,2020,2,19,22,1520,144947
93,2020,2,23,16,1520,144947
94,2020,4,2,5,1699,84477
95,2020,4,23,2,1220,201775
96,2020,5,6,9,1220,201775
97,2020,3,25,11,1470,140000
98,2020,4,9,10,1620,116476
99,2020,3,25,11,1730,84477
100,2020,4,3,13,1470,140000
