No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,5,3100,60037
1,2020,2,12,8,3100,60037
2,2020,2,24,14,3050,60037
3,2020,2,9,16,3060,60037
4,2020,2,7,10,3060,60037
5,2020,2,17,19,3050,60037
6,2020,2,22,19,3050,60037
7,2020,2,21,11,3050,60037
8,2020,2,18,7,3050,60037
9,2020,2,10,12,3060,60037
10,2020,2,14,2,3100,60037
11,2020,4,3,15,2980,60037
12,2020,2,19,21,3050,60037
13,2020,2,14,6,3050,60037
14,2020,2,20,17,3050,60037
15,2020,2,25,3,3050,60037
16,2020,2,23,21,3050,60037
17,2020,2,8,10,3060,60037
18,2020,2,5,13,3060,60037
19,2020,2,6,18,3060,60037
20,2020,3,25,11,2980,60037
