No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,17,19,850,50173
1,2020,2,5,17,850,50173
2,2020,2,6,16,850,50173
3,2020,2,8,6,850,50173
4,2020,2,21,3,850,50173
5,2020,2,24,4,850,50173
6,2020,2,20,2,850,50173
7,2020,2,4,20,890,50173
8,2020,2,14,2,850,50173
9,2020,2,12,15,850,50173
10,2020,2,24,15,880,70591
11,2020,2,23,21,850,50173
12,2020,2,22,10,850,50173
13,2020,2,13,21,850,50173
14,2020,2,3,16,890,50173
15,2020,2,9,18,850,50173
16,2020,2,7,16,850,50173
17,2020,2,10,18,850,50173
18,2020,4,3,14,950,51707
19,2020,2,18,4,850,50173
20,2020,2,2,23,890,50173
21,2020,2,19,12,850,50173
22,2020,2,5,8,890,50173
23,2020,2,25,8,880,70591
