No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,3,1170,79388
1,2020,2,8,18,1170,79388
2,2020,2,8,9,1220,63037
3,2020,2,19,18,1170,79388
4,2020,2,5,1,1220,63037
5,2020,2,7,5,1170,79388
6,2020,2,12,14,1220,63037
7,2020,2,17,13,1220,63037
8,2020,4,2,3,1450,43614
9,2020,2,21,11,1220,63037
10,2020,2,6,13,1170,79388
11,2020,2,5,14,1170,79388
12,2020,2,24,14,1170,79388
13,2020,2,9,21,1220,63037
14,2020,2,20,10,1220,63037
15,2020,2,13,10,1170,79388
16,2020,2,12,14,1170,79388
17,2020,2,24,7,1220,63037
18,2020,2,13,4,1220,63037
19,2020,4,9,10,1450,43614
20,2020,2,9,22,1170,79388
21,2020,2,4,14,1170,79388
22,2020,2,21,0,1170,79388
23,2020,2,6,16,1220,63037
24,2020,2,17,14,1170,79388
25,2020,2,25,0,1170,79388
26,2020,2,23,23,1220,63037
27,2020,2,10,12,1170,79388
28,2020,2,22,5,1170,79388
29,2020,2,20,0,1170,79388
30,2020,2,14,8,1220,63037
31,2020,2,18,4,1170,79388
32,2020,2,3,21,1220,63037
33,2020,2,4,2,1220,63037
34,2020,2,7,21,1220,63037
35,2020,5,6,9,1450,43614
36,2020,2,22,9,1220,63037
37,2020,2,2,14,1220,63037
38,2020,2,19,19,1220,63037
39,2020,2,23,15,1170,79388
40,2020,2,10,14,1220,63037
41,2020,4,3,13,1450,43614
42,2020,2,25,2,1220,63037
