No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,19,1650,59621
1,2020,2,12,6,1500,28445
2,2020,2,3,11,1650,44874
3,2020,2,3,5,1500,28445
4,2020,2,22,6,1650,44874
5,2020,2,13,9,1630,45199
6,2020,2,21,12,1650,44874
7,2020,2,20,10,1650,59621
8,2020,2,23,23,1500,28445
9,2020,2,10,10,1650,44874
10,2020,2,7,3,1630,45199
11,2020,2,9,21,1650,44874
12,2020,2,10,11,1500,28445
13,2020,2,4,20,1630,45199
14,2020,2,21,0,1630,45199
15,2020,2,5,16,1650,44874
16,2020,2,17,18,1650,59621
17,2020,2,19,23,1500,28445
18,2020,2,2,9,1650,59621
19,2020,2,13,23,1650,44874
20,2020,2,13,17,1500,28445
21,2020,2,13,3,1650,59621
22,2020,2,12,14,1650,59621
23,2020,2,12,17,1650,44874
24,2020,2,20,7,1650,44874
25,2020,2,8,8,1650,44874
26,2020,2,7,12,1500,28445
27,2020,2,2,21,1650,44874
28,2020,2,24,6,1599,59621
29,2020,2,7,14,1650,59621
30,2020,2,2,22,1500,28445
31,2020,2,14,8,1500,28445
32,2020,2,23,21,1630,45199
33,2020,2,8,10,1500,28445
34,2020,2,22,13,1630,45199
35,2020,2,12,19,1630,45199
36,2020,2,10,10,1630,45199
37,2020,2,14,3,1650,59621
38,2020,2,18,9,1650,59621
39,2020,2,8,15,1630,45199
40,2020,2,4,23,1500,28445
41,2020,2,9,20,1650,59621
42,2020,2,24,3,1500,28445
43,2020,2,19,19,1630,45199
44,2020,2,10,10,1650,59621
45,2020,2,6,15,1630,45199
46,2020,2,14,8,1650,44874
47,2020,2,22,2,1650,59621
48,2020,2,9,11,1500,28445
49,2020,2,6,1,1650,44874
50,2020,2,3,0,1630,45199
51,2020,2,2,14,1630,45199
52,2020,2,21,15,1500,28445
53,2020,2,18,7,1500,28445
54,2020,2,9,4,1630,45199
55,2020,2,8,13,1650,59621
56,2020,2,21,4,1650,59621
57,2020,2,5,7,1500,28445
58,2020,2,3,3,1650,59621
59,2020,2,24,18,1650,44874
60,2020,2,4,8,1650,44874
61,2020,2,17,13,1630,45199
62,2020,2,18,9,1650,44874
63,2020,2,5,8,1630,45199
64,2020,2,22,7,1500,28445
65,2020,2,23,8,1650,59621
66,2020,2,24,6,1630,45199
67,2020,2,19,18,1650,44874
68,2020,2,25,0,1630,45199
69,2020,2,6,1,1500,28445
70,2020,2,20,18,1500,28445
71,2020,2,23,2,1650,44874
72,2020,2,7,9,1650,44874
73,2020,2,14,9,1630,45199
74,2020,2,20,22,1630,45199
75,2020,2,5,3,1650,59621
76,2020,4,9,12,9999,58443
77,2020,2,6,16,1650,59621
78,2020,2,25,8,1599,59621
79,2020,2,17,14,1650,44874
80,2020,2,18,4,1630,45199
81,2020,4,3,12,9999,58443
82,2020,2,19,22,1650,59621
