No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,2,1790,23726
1,2020,2,8,19,1790,23726
2,2020,2,9,6,1790,23726
3,2020,2,7,10,1830,23843
4,2020,2,25,7,1790,23726
5,2020,2,12,16,1790,23726
6,2020,2,13,3,1790,23726
7,2020,2,14,6,1580,23843
8,2020,2,8,19,1830,23843
9,2020,2,5,17,1830,23726
10,2020,2,4,14,1830,23726
11,2020,2,4,23,1830,23843
12,2020,2,3,22,1830,23843
13,2020,2,22,20,1790,23726
14,2020,2,2,21,1830,23726
15,2020,2,12,11,1580,23843
16,2020,2,10,5,1830,23843
17,2020,2,19,14,1790,23726
18,2020,2,7,21,1790,23726
19,2020,2,2,13,1830,23843
20,2020,2,24,10,1790,23726
21,2020,2,3,7,1830,23726
22,2020,2,22,6,1580,23843
23,2020,2,24,23,1580,23843
24,2020,2,21,1,1790,23726
25,2020,2,21,9,1580,23843
26,2020,2,6,7,1790,23726
27,2020,2,9,5,1830,23843
28,2020,2,10,16,1790,23726
29,2020,2,23,11,1790,23726
30,2020,2,14,8,1790,23726
31,2020,2,6,16,1830,23843
32,2020,2,19,23,1580,23843
33,2020,2,23,17,1580,23843
34,2020,2,18,6,1790,23726
35,2020,2,13,12,1580,23843
36,2020,2,18,5,1580,23843
37,2020,2,12,6,1830,23843
38,2020,2,5,9,1830,23843
39,2020,2,20,3,1580,23843
40,2020,2,25,3,1580,23843
41,2020,2,17,13,1580,23843
