No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,1,630,210639
1,2020,2,12,4,630,210639
2,2020,2,13,4,630,210639
3,2020,2,25,0,630,210639
4,2020,2,20,20,630,210639
5,2020,2,5,20,630,210639
6,2020,2,23,10,630,210639
7,2020,2,19,21,630,210639
8,2020,2,14,6,630,210639
9,2020,4,2,3,600,210639
10,2020,2,9,17,630,210639
11,2020,2,8,13,630,210639
12,2020,2,7,15,630,210639
13,2020,2,21,10,630,210639
14,2020,2,18,10,630,210639
15,2020,4,3,13,600,210639
16,2020,2,10,6,630,210639
17,2020,2,24,1,630,210639
18,2020,2,4,23,630,210639
19,2020,2,6,16,630,210639
20,2020,2,22,10,630,210639
21,2020,3,25,12,600,210639
22,2020,2,17,19,630,210639
23,2020,4,9,11,600,210639
