No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,9,400,278939
1,2020,2,25,0,400,278939
2,2020,2,24,11,400,278939
3,2020,2,10,14,750,125846
4,2020,2,13,23,400,278939
5,2020,2,10,3,400,278939
6,2020,2,6,1,400,278939
7,2020,2,14,6,750,125846
8,2020,2,20,17,750,125846
9,2020,4,2,3,750,125846
10,2020,2,9,2,400,278939
11,2020,2,3,21,400,278939
12,2020,2,7,0,400,278939
13,2020,2,23,18,750,125846
14,2020,2,14,2,400,278939
15,2020,4,3,12,750,125846
16,2020,2,8,5,400,278939
17,2020,2,2,9,400,278939
18,2020,2,18,5,750,125846
19,2020,2,25,3,750,125846
20,2020,2,13,18,750,125846
21,2020,2,4,6,400,278939
22,2020,2,19,15,750,125846
23,2020,2,12,16,750,125846
24,2020,2,24,3,750,125846
25,2020,2,5,10,400,278939
26,2020,2,21,14,750,125846
27,2020,2,22,12,750,125846
28,2020,2,19,16,400,278939
29,2020,2,21,2,400,278939
30,2020,2,27,12,400,278939
31,2020,2,20,7,400,278939
32,2020,4,9,11,750,125846
33,2020,2,23,14,400,278939
34,2020,2,17,14,750,125846
35,2020,2,22,12,400,278939
36,2020,2,18,7,400,278939
