No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,4,2600,32512
1,2020,2,7,10,2600,32512
2,2020,2,5,4,2600,32512
3,2020,2,8,0,2600,32512
4,2020,2,20,14,2600,32512
5,2020,2,12,10,2600,32512
6,2020,2,17,13,2600,32512
7,2020,2,6,6,2600,32512
8,2020,2,14,0,2600,32512
9,2020,2,13,8,2600,32512
10,2020,4,2,5,2600,32512
11,2020,2,21,21,2600,32512
12,2020,2,22,12,2600,32512
13,2020,2,9,2,2600,32512
14,2020,2,4,4,2600,32512
15,2020,2,3,23,2600,32512
16,2020,2,2,23,2600,32512
17,2020,2,18,9,2600,32512
18,2020,2,23,4,2600,32512
19,2020,2,25,5,2600,32512
20,2020,2,24,1,2600,32512
21,2020,2,19,12,2600,32512
