No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,20,4890,29862
1,2020,2,21,17,4890,29862
2,2020,2,9,14,4890,29862
3,2020,2,14,6,4890,29862
4,2020,2,22,20,4890,29862
5,2020,2,2,12,4890,29862
6,2020,2,23,10,4890,29862
7,2020,2,10,15,4890,29862
8,2020,2,20,20,4890,29862
9,2020,2,4,19,4890,29862
10,2020,2,13,13,4890,29862
11,2020,3,25,11,4890,29862
12,2020,2,6,23,4890,29862
13,2020,2,27,13,4890,29862
14,2020,4,2,5,4890,29862
15,2020,4,2,4,4740,12093
16,2020,2,8,6,4890,29862
17,2020,2,24,20,4890,29862
18,2020,2,5,19,4890,29862
19,2020,2,19,21,4890,29862
20,2020,2,7,11,4890,29862
21,2020,2,18,7,4890,29862
22,2020,2,3,12,4890,29862
23,2020,2,25,7,4890,29862
24,2020,3,25,12,4740,12093
25,2020,4,9,10,4890,29862
26,2020,4,3,15,4740,12093
