No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,16,2390,22786
1,2020,2,6,14,2280,36776
2,2020,2,20,12,2330,36776
3,2020,2,5,2,2050,0
4,2020,2,21,16,2699,4883
5,2020,2,24,23,2390,22786
6,2020,2,13,9,2699,4883
7,2020,2,22,17,2390,22786
8,2020,2,23,14,2390,22786
9,2020,2,14,1,2330,36776
10,2020,2,21,12,2390,22786
11,2020,2,13,13,2330,36776
12,2020,2,13,6,2050,0
13,2020,2,12,23,2050,0
14,2020,2,20,13,2699,4883
15,2020,2,6,16,2050,0
16,2020,2,10,16,2280,36776
17,2020,2,20,10,2390,22786
18,2020,2,21,21,2330,36776
19,2020,2,9,20,2050,0
20,2020,2,12,23,2280,36776
21,2020,2,10,0,2050,0
22,2020,2,14,3,2699,4883
23,2020,2,25,8,2390,22786
24,2020,2,9,16,2699,4883
25,2020,2,25,7,2330,36776
26,2020,2,17,18,2330,36776
27,2020,2,7,19,2280,36776
28,2020,2,3,12,2280,36776
29,2020,2,18,5,2330,36776
30,2020,2,23,10,2050,0
31,2020,2,21,23,2050,0
32,2020,2,17,18,2699,4883
33,2020,2,2,12,2280,36776
34,2020,2,3,18,2050,0
35,2020,2,24,14,2699,4883
36,2020,2,4,0,2280,36776
37,2020,2,8,16,2050,0
38,2020,2,14,5,2050,0
39,2020,2,24,13,2330,36776
40,2020,2,12,15,2699,4883
41,2020,2,23,20,2330,36776
42,2020,2,22,10,2699,4883
43,2020,2,5,14,2280,36776
44,2020,2,7,17,2050,0
45,2020,2,8,1,2280,36776
46,2020,2,24,16,2050,0
47,2020,2,22,8,2330,36776
48,2020,2,22,22,2050,0
49,2020,2,23,12,2699,4883
50,2020,2,10,3,2699,4883
51,2020,2,2,14,2050,0
52,2020,2,18,5,2050,0
53,2020,2,17,18,2050,0
54,2020,2,17,18,2390,22786
55,2020,2,4,19,2050,0
56,2020,2,9,20,2280,36776
57,2020,2,19,11,2050,0
58,2020,2,18,4,2390,22786
59,2020,2,13,3,2280,36776
60,2020,2,25,3,2699,4883
61,2020,2,20,9,2050,0
62,2020,4,2,3,2330,36776
63,2020,2,18,4,2699,4883
64,2020,2,19,16,2330,36776
65,2020,2,25,1,2050,0
66,2020,4,9,11,2330,36776
67,2020,2,8,17,2699,4883
