No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,25,6,2240,6972
1,2020,2,8,8,2240,6972
2,2020,2,5,11,2240,6972
3,2020,2,6,12,2240,6972
4,2020,2,23,22,2150,29240
5,2020,2,20,20,2240,6972
6,2020,2,10,16,2240,6972
7,2020,2,21,4,2240,6972
8,2020,2,9,10,2240,6972
9,2020,2,24,1,2150,29240
10,2020,2,13,8,2240,6972
11,2020,2,18,3,2240,6972
12,2020,2,18,3,2150,29240
13,2020,4,2,6,2350,20957
14,2020,2,22,21,2240,6972
15,2020,2,12,15,2240,6972
16,2020,2,22,16,2150,29240
17,2020,2,4,20,2240,6972
18,2020,2,19,13,2150,29240
19,2020,2,24,1,2240,6972
20,2020,2,20,17,2150,29240
21,2020,2,21,1,2150,29240
22,2020,2,17,12,2150,29240
23,2020,4,9,10,1780,21698
24,2020,2,7,23,2240,6972
25,2020,4,3,14,1850,0
26,2020,4,3,14,1790,37903
27,2020,4,2,4,1850,0
28,2020,5,6,8,1850,40500
29,2020,2,25,7,2150,29240
30,2020,2,14,0,2240,6972
31,2020,4,2,6,9999,18694
32,2020,4,2,4,1790,37903
33,2020,2,23,9,2240,6972
34,2020,4,3,12,9999,18694
35,2020,2,19,11,2240,6972
36,2020,3,25,11,1850,37903
37,2020,4,3,14,2350,20957
38,2020,3,25,12,1850,0
39,2020,2,17,21,2240,6972
40,2020,4,9,11,1850,0
41,2020,4,9,10,1790,37903
42,2020,4,3,14,1780,21698
43,2020,4,2,4,1780,21698
