No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,17,1400,145588
1,2020,2,18,5,1400,145588
2,2020,2,5,3,1400,145588
3,2020,2,12,23,1400,145588
4,2020,2,14,1,1400,145588
5,2020,2,27,13,1400,145588
6,2020,2,4,7,1400,145588
7,2020,2,13,2,1400,145588
8,2020,2,3,18,1400,145588
9,2020,2,9,11,1400,145588
10,2020,2,22,4,1400,145588
11,2020,2,2,14,1400,145588
12,2020,2,6,3,1400,145588
13,2020,2,10,12,1400,145588
14,2020,2,23,18,1400,145588
15,2020,2,20,12,1400,145588
16,2020,2,19,9,1400,145588
17,2020,2,17,21,1400,145588
18,2020,2,8,23,1400,145588
19,2020,2,21,3,1400,145588
20,2020,5,6,6,1400,145588
21,2020,2,24,1,1400,145588
22,2020,5,27,6,1400,145588
23,2020,4,3,12,1400,145588
