No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,6,1290,62000
1,2020,2,7,7,1290,62000
2,2020,2,13,15,1290,62000
3,2020,2,12,11,1290,62000
4,2020,2,23,13,1290,62000
5,2020,2,17,18,1290,62000
6,2020,2,9,2,1290,62000
7,2020,2,21,19,1290,62000
8,2020,2,3,5,1290,62000
9,2020,2,20,6,1290,62000
10,2020,2,19,13,1290,62000
11,2020,2,24,19,1290,62000
12,2020,2,5,11,1290,62000
13,2020,2,6,7,1290,62000
14,2020,2,4,16,1290,62000
15,2020,2,25,7,1290,62000
16,2020,2,2,18,1290,62000
17,2020,2,27,12,1290,62000
18,2020,3,25,12,1190,62000
19,2020,2,14,2,1290,62000
20,2020,2,8,9,1290,62000
21,2020,4,2,4,1190,62000
22,2020,2,18,5,1290,62000
23,2020,4,3,14,1190,62000
24,2020,2,22,12,1290,62000
25,2020,4,23,2,1190,62000
