No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,5,410,103894
1,2020,2,4,23,539,60179
2,2020,2,5,8,559,59020
3,2020,2,25,9,410,103894
4,2020,2,12,9,539,60179
5,2020,2,22,7,559,59020
6,2020,2,10,3,539,74068
7,2020,2,23,5,559,59020
8,2020,2,13,8,410,103894
9,2020,2,3,23,539,60179
10,2020,2,10,0,559,59020
11,2020,2,4,9,410,103894
12,2020,2,7,16,559,59020
13,2020,2,6,7,410,103894
14,2020,2,5,3,539,60179
15,2020,2,2,8,430,103894
16,2020,2,3,21,559,59020
17,2020,2,24,3,560,54312
18,2020,2,9,18,539,60179
19,2020,2,4,4,559,59020
20,2020,2,5,17,410,103894
21,2020,2,22,20,560,54312
22,2020,2,7,0,539,74068
23,2020,2,9,7,410,103894
24,2020,2,8,13,539,74068
25,2020,2,3,1,430,103894
26,2020,2,24,2,559,59020
27,2020,2,24,5,410,103894
28,2020,2,23,9,560,54312
29,2020,2,17,13,559,59020
30,2020,2,19,14,410,103894
31,2020,2,12,9,560,54312
32,2020,2,3,10,410,103894
33,2020,2,20,3,410,103894
34,2020,2,6,8,539,60179
35,2020,2,8,2,410,103894
36,2020,2,10,6,410,103894
37,2020,2,21,11,410,103894
38,2020,2,14,6,560,54312
39,2020,2,13,4,539,60179
40,2020,2,14,1,539,60179
41,2020,2,12,3,410,103894
42,2020,2,8,11,539,60179
43,2020,2,10,8,539,60179
44,2020,2,13,2,539,74068
45,2020,2,20,6,559,59020
46,2020,2,22,19,410,103894
47,2020,2,7,6,539,60179
48,2020,2,14,3,410,103894
49,2020,2,2,12,539,60179
50,2020,2,23,0,410,103894
51,2020,2,5,19,539,74068
52,2020,2,9,19,559,59020
53,2020,2,13,1,559,59020
54,2020,2,12,9,539,74068
55,2020,2,2,18,559,59020
56,2020,2,3,23,539,74068
57,2020,2,18,6,559,59020
58,2020,2,7,16,410,103894
59,2020,2,25,3,559,59020
60,2020,2,12,12,559,59020
61,2020,2,8,15,559,59020
62,2020,2,14,7,539,74068
63,2020,2,13,11,560,54312
64,2020,2,9,2,539,74068
65,2020,2,6,4,539,74068
66,2020,2,21,11,559,59020
67,2020,2,6,15,559,59020
68,2020,2,14,6,559,59020
69,2020,2,19,18,560,54312
70,2020,2,27,12,410,103894
71,2020,2,2,14,539,74068
72,2020,2,19,18,559,59020
73,2020,4,3,13,410,103894
74,2020,2,4,4,539,74068
75,2020,2,18,8,560,54312
76,2020,2,17,12,410,103894
77,2020,2,20,15,560,54312
78,2020,4,2,4,410,103894
79,2020,2,25,8,560,54312
