No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,2,800,17905
1,2020,2,4,19,800,17905
2,2020,2,19,20,780,39800
3,2020,2,10,18,800,17905
4,2020,2,13,7,800,17905
5,2020,2,12,11,800,17905
6,2020,2,23,6,800,17905
7,2020,2,3,2,800,17905
8,2020,2,5,1,800,17905
9,2020,2,24,16,800,17905
10,2020,2,2,18,800,17905
11,2020,2,7,14,800,17905
12,2020,2,17,14,780,39800
13,2020,2,8,17,800,17905
14,2020,2,18,9,780,39800
15,2020,2,6,20,800,17905
16,2020,2,19,11,800,17905
17,2020,2,14,6,800,17905
18,2020,2,17,13,800,17905
19,2020,2,21,21,800,17905
20,2020,2,20,13,800,17905
21,2020,2,22,15,800,17905
22,2020,2,20,1,780,39800
