No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,21,2400,104631
1,2020,2,13,8,2650,104631
2,2020,2,7,17,2650,104631
3,2020,2,20,4,2400,104631
4,2020,2,4,23,2650,104631
5,2020,2,25,11,2400,104631
6,2020,2,23,20,2400,104631
7,2020,2,22,4,2400,104631
8,2020,2,19,16,2400,104631
9,2020,2,21,17,2400,104631
10,2020,2,3,3,2650,104631
11,2020,2,8,6,2650,104631
12,2020,2,6,22,2650,104631
13,2020,2,12,13,2650,104631
14,2020,2,2,9,2650,104631
15,2020,2,9,17,2650,104631
16,2020,2,14,9,2650,104631
17,2020,2,10,3,2650,104631
18,2020,2,5,21,2650,104631
19,2020,2,17,14,2650,104631
20,2020,2,18,5,2650,104631
