No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,6,1550,69491
1,2020,2,13,5,1550,69491
2,2020,2,7,23,1550,69491
3,2020,2,19,23,1550,69491
4,2020,2,4,14,1550,69491
5,2020,3,25,11,1060,160950
6,2020,2,5,10,1550,69491
7,2020,2,2,14,1450,69491
8,2020,2,9,2,1550,69491
9,2020,2,17,20,1550,69491
10,2020,2,3,12,1550,69491
11,2020,2,20,17,1550,69491
12,2020,2,21,13,1550,69491
13,2020,2,22,11,1550,69491
14,2020,2,12,5,1550,69491
15,2020,2,24,7,1550,69491
16,2020,2,18,3,1550,69491
17,2020,2,10,10,1550,69491
18,2020,2,14,7,1550,69491
19,2020,4,3,12,1060,160950
20,2020,2,8,0,1550,69491
21,2020,2,25,4,1550,69491
22,2020,2,23,0,1550,69491
23,2020,2,3,3,1450,69491
24,2020,4,9,11,1060,160950
