No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,21,2990,17790
1,2020,2,20,21,2990,17790
2,2020,2,9,22,2990,17790
3,2020,2,10,9,2990,17790
4,2020,2,21,3,2390,32175
5,2020,2,27,12,2390,32175
6,2020,2,22,3,2390,32175
7,2020,2,6,18,2990,17790
8,2020,2,20,8,2390,32175
9,2020,2,3,11,2990,17790
10,2020,2,5,4,2990,17790
11,2020,2,12,21,2990,17790
12,2020,2,22,10,2990,17790
13,2020,2,8,15,2990,17790
14,2020,2,24,22,2990,17790
15,2020,2,23,10,2390,32175
16,2020,2,14,6,2990,17790
17,2020,2,7,5,2990,17790
18,2020,2,23,17,2990,17790
19,2020,2,4,22,2990,17790
20,2020,2,19,15,2390,32175
21,2020,2,18,4,2990,17790
22,2020,2,21,10,2990,17790
23,2020,2,19,10,2990,17790
24,2020,2,2,11,2990,17790
25,2020,2,25,8,2390,32175
26,2020,4,9,10,2580,59352
27,2020,2,17,19,2990,17790
