No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,0,960,108871
1,2020,2,12,20,960,108871
2,2020,2,21,20,960,108871
3,2020,2,2,21,1330,123707
4,2020,2,5,0,970,108871
5,2020,2,24,2,1330,123707
6,2020,2,19,23,960,108871
7,2020,2,17,19,960,108871
8,2020,2,8,3,970,108871
9,2020,2,24,21,960,108871
10,2020,2,23,2,960,108871
11,2020,2,25,4,960,108871
12,2020,2,10,0,1330,123707
13,2020,2,13,1,960,108871
14,2020,2,13,9,1330,123707
15,2020,2,4,11,970,108871
16,2020,2,6,13,970,108871
17,2020,2,17,21,1330,123707
18,2020,2,3,16,970,108871
19,2020,2,4,14,1330,123707
20,2020,2,7,16,1330,123707
21,2020,2,21,17,1330,123707
22,2020,2,18,7,960,108871
23,2020,2,20,14,960,108871
24,2020,2,20,21,1330,123707
25,2020,2,3,10,1330,123707
26,2020,2,25,9,1330,123707
27,2020,2,14,1,1330,123707
28,2020,2,22,21,960,108871
29,2020,2,9,14,970,108871
30,2020,2,6,9,1330,123707
31,2020,2,9,13,1330,123707
32,2020,2,10,4,970,108871
33,2020,2,23,15,1330,123707
34,2020,2,12,21,1330,123707
35,2020,2,8,4,1330,123707
36,2020,4,2,6,1330,123707
37,2020,2,18,7,1330,123707
38,2020,2,7,14,970,108871
39,2020,2,22,13,1330,123707
40,2020,4,9,10,1330,123707
41,2020,2,5,10,1330,123707
42,2020,2,19,10,1330,123707
43,2020,4,3,12,1330,123707
