No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,13,650,54005
1,2020,2,10,10,650,54005
2,2020,2,20,8,630,41534
3,2020,2,12,11,650,54005
4,2020,2,13,13,630,41534
5,2020,2,23,18,630,41534
6,2020,2,4,11,680,54005
7,2020,2,21,1,650,54005
8,2020,2,4,11,630,41534
9,2020,2,6,0,680,54005
10,2020,2,23,12,660,31597
11,2020,2,2,23,750,54005
12,2020,2,25,4,539,138346
13,2020,2,25,3,650,54005
14,2020,2,13,14,650,54005
15,2020,2,6,12,650,54005
16,2020,2,21,9,660,31597
17,2020,2,19,18,650,54005
18,2020,2,22,2,650,54005
19,2020,2,24,16,490,145275
20,2020,2,20,8,650,54005
21,2020,2,19,18,630,41534
22,2020,2,5,19,680,54005
23,2020,2,10,4,660,31597
24,2020,2,22,2,660,31597
25,2020,2,24,6,630,41534
26,2020,2,14,4,630,41534
27,2020,2,24,12,650,54005
28,2020,2,23,19,539,138346
29,2020,2,3,7,630,41534
30,2020,2,18,5,650,54005
31,2020,2,12,15,630,41534
32,2020,2,23,13,490,145275
33,2020,2,24,9,539,138346
34,2020,2,4,16,660,31597
35,2020,2,6,23,630,41534
36,2020,2,21,16,630,41534
37,2020,2,9,16,650,54005
38,2020,2,7,15,630,41534
39,2020,2,8,18,630,41534
40,2020,2,8,0,660,31597
41,2020,2,9,12,630,41534
42,2020,2,6,12,660,31597
43,2020,2,23,8,650,54005
44,2020,2,7,20,650,54005
45,2020,2,19,10,660,31597
46,2020,2,3,22,680,54005
47,2020,2,17,18,660,31597
48,2020,2,12,18,660,31597
49,2020,2,25,7,660,31597
50,2020,2,2,9,630,41534
51,2020,2,17,19,650,54005
52,2020,2,5,6,660,31597
53,2020,2,14,1,650,54005
54,2020,2,22,8,630,41534
55,2020,4,2,4,680,54092
56,2020,2,14,6,660,31597
57,2020,2,13,5,660,31597
58,2020,2,5,0,630,41534
59,2020,2,7,13,660,31597
60,2020,2,9,15,660,31597
61,2020,2,25,6,490,145275
62,2020,2,18,6,660,31597
63,2020,2,2,9,660,31597
64,2020,2,3,19,660,31597
65,2020,2,20,16,660,31597
66,2020,2,10,8,630,41534
67,2020,2,25,6,630,41534
68,2020,2,22,23,490,145275
69,2020,2,24,16,660,31597
70,2020,2,18,6,630,41534
71,2020,2,17,20,630,41534
72,2020,3,25,13,680,54092
