No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,17,13,890,24864
1,2020,2,6,9,820,41419
2,2020,2,7,20,820,41419
3,2020,2,2,18,870,13462
4,2020,2,21,5,820,41419
5,2020,2,5,15,870,13462
6,2020,2,8,7,870,13462
7,2020,2,2,13,849,41419
8,2020,2,3,8,745,69089
9,2020,2,12,5,820,41419
10,2020,2,8,10,820,41419
11,2020,2,8,4,745,69089
12,2020,2,23,7,745,69089
13,2020,2,9,13,870,13462
14,2020,2,9,13,820,41419
15,2020,2,22,19,745,69089
16,2020,2,14,5,745,69089
17,2020,2,21,2,850,13462
18,2020,2,20,15,890,24864
19,2020,2,23,17,820,41419
20,2020,2,10,19,820,41419
21,2020,2,9,7,745,69089
22,2020,2,13,5,820,41419
23,2020,2,13,7,850,13462
24,2020,2,4,11,745,69089
25,2020,4,9,10,745,69089
26,2020,2,5,20,820,41419
27,2020,2,21,23,745,69089
28,2020,2,13,17,745,69089
29,2020,2,6,8,745,69089
30,2020,2,14,8,850,13462
31,2020,2,8,18,890,24864
32,2020,2,18,9,820,41419
33,2020,2,4,14,820,41419
34,2020,2,6,6,870,13462
35,2020,2,12,14,850,13462
36,2020,2,4,17,880,13462
37,2020,2,19,10,890,24864
38,2020,2,6,11,890,24864
39,2020,2,5,0,880,13462
40,2020,2,3,12,849,41419
41,2020,2,7,2,745,69089
42,2020,2,7,20,870,13462
43,2020,2,10,7,745,69089
44,2020,2,22,10,850,13462
45,2020,4,3,13,640,160713
46,2020,2,21,2,890,24864
47,2020,2,20,15,850,13462
48,2020,2,10,17,870,13462
49,2020,2,13,15,890,24864
50,2020,2,22,16,820,41419
51,2020,2,3,12,890,24864
52,2020,2,24,4,820,41419
53,2020,2,14,3,820,41419
54,2020,2,10,11,890,24864
55,2020,2,12,4,745,69089
56,2020,2,22,14,890,24864
57,2020,2,23,3,890,24864
58,2020,2,18,9,890,24864
59,2020,2,17,13,820,41419
60,2020,2,25,7,890,24864
61,2020,2,24,2,745,69089
62,2020,2,20,7,820,41419
63,2020,2,18,6,850,13462
64,2020,2,23,10,850,13462
65,2020,2,5,17,890,24864
66,2020,2,25,10,850,13462
67,2020,4,3,14,745,69089
68,2020,2,7,14,890,24864
69,2020,2,2,21,745,69089
70,2020,2,12,14,890,24864
71,2020,2,14,4,890,24864
72,2020,2,3,3,870,13462
73,2020,2,17,14,850,13462
74,2020,2,24,18,850,13462
75,2020,2,25,1,820,41419
76,2020,2,9,0,890,24864
77,2020,2,17,20,745,69089
78,2020,5,6,8,640,160713
79,2020,2,20,19,745,69089
80,2020,2,19,16,820,41419
81,2020,2,25,9,745,69089
82,2020,2,5,11,745,69089
83,2020,2,19,22,850,13462
84,2020,2,4,2,890,24864
85,2020,2,2,22,890,24864
86,2020,2,4,4,849,41419
87,2020,4,2,6,745,69089
88,2020,2,18,4,745,69089
89,2020,2,19,16,745,69089
