No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,5,730,28000
1,2020,2,18,4,690,28900
2,2020,2,7,23,720,28000
3,2020,2,8,5,680,113421
4,2020,2,10,14,680,113421
5,2020,2,4,0,680,113421
6,2020,2,22,17,680,113421
7,2020,2,3,1,750,28000
8,2020,2,8,16,720,28000
9,2020,2,3,9,840,47146
10,2020,2,5,22,680,113421
11,2020,2,13,19,840,47146
12,2020,2,21,7,690,28900
13,2020,2,10,11,840,47146
14,2020,2,4,22,750,28000
15,2020,2,13,6,690,28000
16,2020,2,3,21,680,113421
17,2020,2,2,18,840,47146
18,2020,2,24,19,690,28900
19,2020,2,20,7,840,47146
20,2020,2,25,7,760,82520
21,2020,2,22,6,840,47146
22,2020,2,12,22,690,28000
23,2020,2,9,7,840,47146
24,2020,2,23,11,690,28900
25,2020,2,19,10,690,28900
26,2020,2,24,3,680,113421
27,2020,2,22,4,760,82520
28,2020,2,5,12,750,28000
29,2020,2,2,9,699,113421
30,2020,2,25,1,690,28900
31,2020,2,9,17,720,28000
32,2020,2,17,19,690,28900
33,2020,2,6,7,730,28000
34,2020,2,12,9,680,113421
35,2020,2,22,17,690,28900
36,2020,2,13,7,680,113421
37,2020,2,4,12,840,47146
38,2020,2,24,11,760,82520
39,2020,2,20,7,690,28900
40,2020,2,12,21,840,47146
41,2020,2,25,6,680,113421
42,2020,2,19,23,680,113421
43,2020,2,9,6,680,113421
44,2020,2,14,0,840,47146
45,2020,2,8,18,840,47146
46,2020,2,14,6,690,28000
47,2020,2,20,20,680,113421
48,2020,2,21,22,760,82520
49,2020,2,7,8,680,113421
50,2020,2,18,6,680,113421
51,2020,2,17,19,840,47146
52,2020,2,23,2,760,82520
53,2020,2,10,18,690,28000
54,2020,2,7,17,840,47146
55,2020,2,14,0,680,113421
56,2020,2,2,17,750,28000
57,2020,2,6,19,680,113421
58,2020,2,5,0,840,47146
59,2020,2,10,3,720,28000
60,2020,2,6,2,840,47146
61,2020,2,23,13,680,113421
62,2020,2,23,23,840,47146
63,2020,2,3,4,699,113421
64,2020,2,24,7,840,47146
65,2020,2,21,0,680,113421
66,2020,2,19,23,840,47146
67,2020,2,21,3,840,47146
68,2020,2,6,2,750,28000
69,2020,2,17,14,680,113421
70,2020,2,18,7,840,47146
