No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,7,1280,72847
1,2020,2,14,9,1280,72847
2,2020,2,7,22,1280,72847
3,2020,2,4,15,1280,72847
4,2020,2,21,0,1280,72847
5,2020,2,25,5,1280,72847
6,2020,2,5,21,1280,72847
7,2020,2,17,19,1280,72847
8,2020,2,13,13,1280,72847
9,2020,2,2,14,1280,72847
10,2020,2,12,15,1280,72847
11,2020,2,23,7,1280,72847
12,2020,2,20,7,1280,72847
13,2020,2,10,11,1280,72847
14,2020,2,6,12,1280,72847
15,2020,2,22,0,1280,72847
16,2020,2,18,8,1280,72847
17,2020,2,3,12,1280,72847
18,2020,2,9,23,1280,72847
19,2020,2,8,17,1280,72847
20,2020,2,19,22,1280,72847
