No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,14,290,247387
1,2020,2,2,20,290,247387
2,2020,2,18,7,290,247387
3,2020,2,12,20,290,247387
4,2020,2,10,13,290,247387
5,2020,2,22,0,290,247387
6,2020,2,8,13,290,247387
7,2020,2,24,10,290,247387
8,2020,2,19,13,290,247387
9,2020,2,4,16,290,247387
10,2020,2,6,10,290,247387
11,2020,2,20,18,290,247387
12,2020,4,3,15,350,247387
13,2020,2,13,0,290,247387
14,2020,2,17,21,290,247387
15,2020,2,5,11,290,247387
16,2020,2,25,4,290,247387
17,2020,4,2,3,290,247387
18,2020,2,21,8,290,247387
19,2020,2,7,22,290,247387
20,2020,2,14,0,290,247387
21,2020,2,9,16,290,247387
22,2020,2,23,21,290,247387
