No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,21,1299,30000
1,2020,2,8,7,1299,30000
2,2020,2,19,11,1299,30000
3,2020,2,21,16,1299,30000
4,2020,2,13,20,1299,30000
5,2020,2,12,11,1299,30000
6,2020,2,9,7,1299,30000
7,2020,2,6,12,1299,30000
8,2020,2,18,9,1299,30000
9,2020,2,4,4,1299,30000
10,2020,2,17,18,1299,30000
11,2020,2,3,18,1299,30000
12,2020,2,7,9,1299,30000
13,2020,2,5,4,1299,30000
14,2020,4,3,15,1350,30000
15,2020,2,20,3,1299,30000
16,2020,2,25,8,1299,30000
17,2020,2,22,10,1299,30000
18,2020,2,24,8,1299,30000
19,2020,2,2,17,1299,30000
20,2020,2,10,5,1299,30000
21,2020,4,2,4,1280,30000
22,2020,3,25,11,1299,30000
