No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,17,1250,94000
1,2020,2,10,4,1250,94000
2,2020,2,7,5,1250,94000
3,2020,2,4,7,1250,94000
4,2020,2,2,13,1250,94000
5,2020,2,17,19,1250,94000
6,2020,2,12,3,1250,94000
7,2020,2,6,13,1250,94000
8,2020,2,5,19,1250,94000
9,2020,2,13,6,1250,94000
10,2020,2,9,8,1250,94000
11,2020,2,20,5,1250,94000
12,2020,2,19,16,1250,94000
13,2020,2,14,4,1250,94000
14,2020,2,8,13,1250,94000
15,2020,2,18,8,1250,94000
16,2020,2,25,10,1250,94000
17,2020,2,23,4,1250,94000
18,2020,2,22,10,1250,94000
19,2020,2,24,6,1250,94000
20,2020,2,3,3,1250,94000
