No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,11,1290,84000
1,2020,2,6,4,1290,84000
2,2020,2,8,4,1290,84000
3,2020,2,20,3,1290,84000
4,2020,2,4,14,1290,84000
5,2020,2,2,16,1290,84000
6,2020,2,19,17,1290,84000
7,2020,2,13,5,1290,84000
8,2020,2,18,8,1290,84000
9,2020,2,9,20,1290,84000
10,2020,2,22,10,1290,84000
11,2020,2,12,23,1290,84000
12,2020,2,3,4,1290,84000
13,2020,2,14,8,1290,84000
14,2020,2,25,5,1290,84000
15,2020,2,7,15,1290,84000
16,2020,2,24,16,1290,84000
17,2020,2,5,19,1290,84000
18,2020,2,21,20,1290,84000
19,2020,2,23,15,1290,84000
20,2020,2,17,21,1290,84000
