No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,22,3290,16181
1,2020,2,14,7,3290,16181
2,2020,2,10,5,3290,16181
3,2020,2,25,2,3290,16181
4,2020,2,4,3,3290,16181
5,2020,2,13,4,3290,16181
6,2020,2,5,1,3290,16181
7,2020,2,7,13,3290,16181
8,2020,2,20,10,3290,16181
9,2020,2,8,3,3290,16181
10,2020,2,24,8,3290,16181
11,2020,2,22,14,3290,16181
12,2020,5,6,7,3500,22726
13,2020,2,9,16,3290,16181
14,2020,2,23,12,3290,16181
15,2020,2,3,19,3390,16181
16,2020,2,2,14,3390,16181
17,2020,4,2,3,3450,43120
18,2020,2,6,21,3290,16181
19,2020,4,3,13,3450,43120
20,2020,2,18,3,3290,16181
21,2020,2,21,16,3290,16181
22,2020,2,17,12,3290,16181
23,2020,2,19,22,3290,16181
24,2020,2,4,1,3390,16181
