No,xyear,xmonth,xday,xhour,price,mileage
0,2020,4,2,4,329,185417
1,2020,2,20,14,359,185417
2,2020,2,4,21,359,185417
3,2020,2,3,19,359,185417
4,2020,2,19,20,359,185417
5,2020,2,23,14,359,185417
6,2020,2,12,23,359,185417
7,2020,2,8,4,359,185417
8,2020,2,24,20,359,185417
9,2020,2,5,17,359,185417
10,2020,2,10,10,359,185417
11,2020,2,6,22,359,185417
12,2020,2,17,19,359,185417
13,2020,2,21,3,359,185417
14,2020,2,7,5,359,185417
15,2020,2,13,6,359,185417
16,2020,2,2,17,359,185417
17,2020,2,9,20,359,185417
18,2020,2,14,2,359,185417
19,2020,2,22,9,359,185417
20,2020,5,27,6,289,185417
21,2020,2,25,8,359,185417
22,2020,4,3,14,329,185417
23,2020,4,9,10,329,185417
24,2020,2,18,4,359,185417
25,2020,5,6,7,289,185417
