No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,5,730,210284
1,2020,2,7,17,900,130000
2,2020,2,7,12,730,210284
3,2020,4,2,5,590,257453
4,2020,2,7,22,899,142475
5,2020,4,3,14,850,153247
6,2020,2,14,6,899,142475
7,2020,3,25,13,800,119365
8,2020,2,13,2,730,210284
9,2020,2,13,14,899,142475
10,2020,2,9,7,730,210284
11,2020,2,12,20,899,142475
12,2020,2,20,14,730,210284
13,2020,2,3,12,899,142475
14,2020,2,8,23,900,130000
15,2020,2,13,1,1020,92947
16,2020,2,4,21,899,142475
17,2020,2,2,20,730,210284
18,2020,2,3,13,1020,92947
19,2020,2,5,2,899,142475
20,2020,2,12,20,1020,92947
21,2020,2,17,19,730,210284
22,2020,5,6,8,790,152690
23,2020,2,19,18,1020,92947
24,2020,2,6,18,899,142475
25,2020,2,12,14,900,130000
26,2020,2,3,4,900,130000
27,2020,4,3,15,1000,119365
28,2020,2,6,1,900,130000
29,2020,2,17,20,900,130000
30,2020,2,20,7,899,142475
31,2020,2,14,6,1020,92947
32,2020,2,9,14,1020,92947
33,2020,2,19,22,730,210284
34,2020,2,24,18,900,130000
35,2020,2,6,20,730,210284
36,2020,2,19,23,900,130000
37,2020,2,17,18,899,142475
38,2020,2,5,2,900,130000
39,2020,5,6,8,770,153247
40,2020,2,2,17,899,142475
41,2020,2,13,10,900,130000
42,2020,2,19,23,899,142475
43,2020,2,9,13,900,130000
44,2020,2,8,17,1020,92947
45,2020,2,2,19,900,130000
46,2020,2,12,17,730,210284
47,2020,3,25,12,1020,92947
48,2020,2,8,10,899,142475
49,2020,2,25,4,900,130000
50,2020,2,6,9,1020,92947
51,2020,5,27,6,630,173500
52,2020,2,22,18,1020,92947
53,2020,2,21,11,899,142475
54,2020,2,14,6,730,210284
55,2020,4,23,2,930,92832
56,2020,4,3,12,650,156177
57,2020,2,21,6,1020,92947
58,2020,2,10,1,899,142475
59,2020,2,21,22,730,210284
60,2020,3,25,11,670,210284
61,2020,2,9,19,899,142475
62,2020,2,10,3,730,210284
63,2020,2,4,6,1020,92947
64,2020,2,18,4,730,210284
65,2020,4,2,3,1020,92947
66,2020,2,23,18,900,130000
67,2020,2,8,12,730,210284
68,2020,2,24,2,899,142475
69,2020,2,25,0,899,142475
70,2020,2,5,20,1020,92947
71,2020,2,7,4,1020,92947
72,2020,4,2,6,650,156177
73,2020,2,17,20,1020,92947
74,2020,2,4,0,730,210284
75,2020,4,9,10,930,92832
76,2020,2,20,9,1020,92947
77,2020,2,21,4,900,130000
78,2020,2,23,5,1020,92947
79,2020,4,9,10,790,152690
80,2020,2,23,1,899,142475
81,2020,4,3,15,790,152690
82,2020,2,18,9,899,142475
83,2020,2,3,1,730,210284
84,2020,2,22,5,900,130000
85,2020,2,23,4,730,210284
86,2020,2,18,3,900,130000
87,2020,3,25,11,590,257453
88,2020,2,20,20,900,130000
89,2020,4,3,15,1020,92947
90,2020,2,22,6,899,142475
91,2020,2,4,1,900,130000
92,2020,2,25,5,1020,92947
93,2020,2,10,14,900,130000
94,2020,2,18,3,1020,92947
95,2020,4,2,4,670,210284
96,2020,2,24,13,1020,92947
97,2020,4,9,10,1020,92947
98,2020,5,6,7,920,83153
99,2020,2,14,5,900,130000
100,2020,4,2,6,790,152690
101,2020,2,25,7,730,210284
102,2020,2,2,16,1020,92947
103,2020,2,22,14,730,210284
104,2020,5,6,6,720,211428
105,2020,4,2,4,1000,119365
106,2020,4,23,2,1000,119365
107,2020,4,3,13,590,257453
108,2020,2,24,23,730,210284
109,2020,4,2,3,850,153247
