No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,11,480,97366
1,2020,2,3,21,480,97366
2,2020,2,9,8,480,97366
3,2020,2,20,8,480,97366
4,2020,4,2,3,480,97366
5,2020,4,3,13,480,97366
6,2020,2,23,4,750,78135
7,2020,4,9,12,480,97366
8,2020,2,25,10,750,78135
9,2020,2,5,10,480,97366
10,2020,2,18,3,480,97366
11,2020,2,21,2,480,97366
12,2020,2,8,10,480,97366
13,2020,2,6,4,480,97366
14,2020,2,13,15,480,97366
15,2020,2,22,3,480,97366
16,2020,2,14,3,480,97366
17,2020,3,25,11,480,97366
18,2020,2,19,11,480,97366
19,2020,2,17,19,480,97366
20,2020,2,21,22,750,78135
21,2020,2,4,17,480,97366
22,2020,2,22,1,750,78135
23,2020,2,7,19,480,97366
24,2020,2,23,12,480,97366
25,2020,2,2,13,480,97366
26,2020,3,25,12,750,78135
27,2020,4,3,13,750,78135
28,2020,2,24,13,750,78135
29,2020,2,24,15,480,97366
30,2020,4,23,2,770,32601
31,2020,4,3,12,790,32601
32,2020,4,9,11,750,78135
33,2020,2,25,6,480,97366
34,2020,4,2,3,750,78135
35,2020,4,3,14,570,112623
