No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,17,4650,1739
1,2020,2,6,23,4650,1739
2,2020,2,18,9,4330,18977
3,2020,2,24,9,4290,18977
4,2020,4,2,6,2950,133690
5,2020,2,20,20,4290,18977
6,2020,2,6,5,4670,1739
7,2020,2,5,10,4390,18977
8,2020,2,23,13,4590,1739
9,2020,2,21,2,4290,18977
10,2020,2,3,13,4390,18977
11,2020,2,21,1,3050,133690
12,2020,2,9,3,4390,18977
13,2020,2,13,21,4330,18977
14,2020,2,12,15,4330,18977
15,2020,2,22,8,3050,133690
16,2020,2,24,7,4590,1739
17,2020,2,7,21,4650,1739
18,2020,2,10,16,4650,1739
19,2020,2,23,20,3050,133690
20,2020,2,3,23,4670,1739
21,2020,2,20,17,3050,133690
22,2020,2,23,11,4290,18977
23,2020,2,22,19,4290,18977
24,2020,2,19,19,4590,1739
25,2020,2,21,17,4590,1739
26,2020,2,25,10,4590,1739
27,2020,2,9,23,4650,1739
28,2020,2,12,11,4650,1739
29,2020,2,17,14,4650,1739
30,2020,2,24,20,3050,133690
31,2020,4,9,12,4430,1739
32,2020,2,8,18,4650,1739
33,2020,2,14,1,4650,1739
34,2020,2,2,22,4670,1739
35,2020,2,19,15,3050,133690
36,2020,2,6,3,4390,18977
37,2020,2,14,5,4330,18977
38,2020,2,25,10,3050,133690
39,2020,2,22,10,4590,1739
40,2020,2,4,17,4670,1739
41,2020,2,2,18,4390,18977
42,2020,4,2,5,4570,1739
43,2020,2,20,5,4590,1739
44,2020,2,10,13,4390,18977
45,2020,2,4,14,4390,18977
46,2020,2,18,8,3050,133690
47,2020,4,3,12,2950,133690
48,2020,2,7,19,4390,18977
49,2020,2,25,5,4290,18977
50,2020,5,10,23,2800,133690
51,2020,4,3,13,3750,59853
52,2020,2,5,14,4670,1739
53,2020,2,18,8,4650,1739
54,2020,2,19,20,4290,18977
55,2020,2,17,13,3050,133690
56,2020,4,2,6,4350,18977
57,2020,2,8,16,4390,18977
58,2020,2,14,9,3100,133690
59,2020,4,9,10,3750,59853
60,2020,4,3,13,4350,18977
61,2020,4,9,11,2950,133690
62,2020,4,3,14,4570,1739
63,2020,5,6,7,4370,1739
