No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,19,1690,106538
1,2020,2,12,16,1690,106538
2,2020,2,3,7,1460,193237
3,2020,2,5,11,1460,193237
4,2020,2,13,0,1690,106538
5,2020,2,21,20,1690,106538
6,2020,2,24,15,1640,106538
7,2020,2,12,18,1460,193237
8,2020,2,19,22,1690,106538
9,2020,2,4,21,1460,193237
10,2020,2,2,14,1460,193237
11,2020,2,25,9,1640,106538
12,2020,2,7,14,1460,193237
13,2020,2,24,0,1690,106538
14,2020,2,10,4,1460,193237
15,2020,2,8,1,1460,193237
16,2020,2,14,1,1690,106538
17,2020,2,17,20,1460,193237
18,2020,2,24,22,1460,193237
19,2020,2,18,4,1690,106538
20,2020,2,6,17,1460,193237
21,2020,2,25,11,1460,193237
22,2020,2,23,23,1460,193237
23,2020,2,19,20,1460,193237
24,2020,2,9,0,1460,193237
25,2020,2,22,13,1690,106538
26,2020,2,17,20,1690,106538
27,2020,2,13,4,1460,193237
28,2020,2,22,3,1460,193237
29,2020,2,10,14,1750,106538
30,2020,2,23,11,1690,106538
31,2020,2,20,3,1460,193237
32,2020,2,14,8,1460,193237
33,2020,2,21,16,1460,193237
