No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,10,2670,57872
1,2020,2,10,8,2720,29922
2,2020,2,24,1,2670,57872
3,2020,2,12,18,2720,29922
4,2020,2,21,10,2670,57872
5,2020,2,20,12,2670,57872
6,2020,2,21,18,2720,29922
7,2020,2,18,9,2720,29922
8,2020,2,13,9,2720,29922
9,2020,2,14,10,2670,57872
10,2020,2,5,19,2720,29922
11,2020,2,17,14,2670,57872
12,2020,2,22,6,2670,57872
13,2020,2,8,19,2720,29922
14,2020,2,7,14,2720,29922
15,2020,2,2,9,2720,29922
16,2020,2,25,9,2670,57872
17,2020,2,19,19,2720,29922
18,2020,2,4,5,2720,29922
19,2020,2,9,6,2720,29922
20,2020,4,2,4,2570,42426
21,2020,3,25,12,2570,42426
22,2020,2,6,18,2720,29922
23,2020,2,19,11,2670,57872
24,2020,2,23,6,2670,57872
25,2020,2,20,14,2720,29922
26,2020,2,3,9,2720,29922
27,2020,2,24,1,2720,29922
28,2020,2,14,6,2720,29922
29,2020,4,3,13,2570,42426
30,2020,2,22,10,2720,29922
31,2020,2,23,15,2720,29922
32,2020,2,25,8,2720,29922
33,2020,4,9,10,2550,57872
34,2020,4,3,13,2550,57872
35,2020,5,6,7,2550,57872
