No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,14,2350,13515
1,2020,2,5,4,2290,5994
2,2020,2,6,11,2390,13515
3,2020,2,2,8,2290,5994
4,2020,2,10,7,2390,13515
5,2020,2,24,5,2350,13515
6,2020,2,20,22,2350,13515
7,2020,2,12,7,2350,13515
8,2020,2,9,1,2290,5994
9,2020,2,13,7,2350,13515
10,2020,2,14,1,2350,13515
11,2020,2,25,6,2350,13515
12,2020,2,14,8,2290,5994
13,2020,2,24,5,2290,5994
14,2020,2,13,19,2290,5994
15,2020,2,9,3,2390,13515
16,2020,2,19,14,2290,5994
17,2020,2,23,8,2290,5994
18,2020,2,7,5,2390,13515
19,2020,2,5,15,2390,13515
20,2020,2,21,19,2350,13515
21,2020,2,22,16,2350,13515
22,2020,2,12,6,2290,5994
23,2020,2,10,15,2290,5994
24,2020,2,4,10,2290,5994
25,2020,2,18,9,2350,13515
26,2020,2,3,21,2290,5994
27,2020,2,8,12,2290,5994
28,2020,2,17,21,2350,13515
29,2020,2,7,14,2290,5994
30,2020,2,3,10,2390,13515
31,2020,2,20,18,2290,5994
32,2020,2,18,3,2290,5994
33,2020,2,19,19,2350,13515
34,2020,2,8,1,2390,13515
35,2020,2,22,14,2290,5994
36,2020,2,21,23,2290,5994
37,2020,2,6,1,2290,5994
38,2020,2,25,5,2290,5994
39,2020,2,4,7,2390,13515
