No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,6,1999,71600
1,2020,2,24,9,1830,74071
2,2020,2,2,21,1990,50196
3,2020,2,19,19,2390,32000
4,2020,2,24,22,2450,39510
5,2020,2,5,15,1999,71600
6,2020,2,6,6,1950,76771
7,2020,2,22,22,2450,39510
8,2020,2,23,9,2100,73289
9,2020,2,20,22,2390,32000
10,2020,2,23,23,2390,32000
11,2020,2,3,5,1950,76771
12,2020,2,25,7,1999,62801
13,2020,2,9,6,1890,74071
14,2020,2,3,3,1999,62801
15,2020,2,8,19,1990,50196
16,2020,2,8,13,1999,62801
17,2020,2,9,11,1999,62801
18,2020,2,3,2,1990,50196
19,2020,2,27,12,2390,32000
20,2020,2,13,19,1890,74071
21,2020,5,6,7,1920,62801
22,2020,2,21,12,2390,32000
23,2020,2,6,14,1890,74071
24,2020,2,24,5,2100,73289
25,2020,2,24,11,2390,32000
26,2020,2,22,2,2390,32000
27,2020,2,6,21,1990,50196
28,2020,2,13,22,1999,62801
29,2020,2,12,23,1990,50196
30,2020,2,13,4,1950,76771
31,2020,4,2,4,2060,59705
32,2020,2,20,6,2450,39510
33,2020,2,24,15,1990,50196
34,2020,2,25,8,2450,39510
35,2020,2,2,8,1999,62801
36,2020,2,22,22,1950,76771
37,2020,2,6,15,1999,62801
38,2020,2,7,19,1999,62801
39,2020,2,4,13,1950,76771
40,2020,2,5,14,1950,76771
41,2020,2,8,17,1999,71600
42,2020,2,14,5,1990,50196
43,2020,4,2,6,1830,74071
44,2020,2,23,14,1990,50196
45,2020,2,13,14,1999,71600
46,2020,4,3,12,1860,76771
47,2020,2,21,19,2450,39510
48,2020,2,9,3,1950,76771
49,2020,4,3,13,2060,59705
50,2020,2,4,7,1990,50196
51,2020,2,12,17,1999,71600
52,2020,2,4,19,1999,71600
53,2020,2,23,2,2450,39510
54,2020,2,19,21,1999,62801
55,2020,2,14,10,1890,74071
56,2020,2,19,9,1830,74071
57,2020,2,21,12,1830,74071
58,2020,2,22,1,1999,71600
59,2020,2,2,15,1890,74071
60,2020,2,18,3,1950,76771
61,2020,2,23,23,1999,71600
62,2020,2,20,10,1999,62801
63,2020,2,13,6,1990,50196
64,2020,2,24,16,1999,71600
65,2020,4,9,11,2390,32000
66,2020,2,21,14,2100,73289
67,2020,2,24,4,1999,62801
68,2020,2,4,14,1890,74071
69,2020,2,7,16,1890,74071
70,2020,2,3,16,1999,71600
71,2020,2,4,9,1999,62801
72,2020,2,12,14,1999,62801
73,2020,2,8,17,1890,74071
74,2020,2,7,13,1950,76771
75,2020,2,19,12,1999,71600
76,2020,4,23,2,1910,60969
77,2020,2,19,17,1990,50196
78,2020,2,17,12,1999,62801
79,2020,3,25,12,2100,60069
80,2020,2,18,5,2450,39510
81,2020,2,12,11,1890,74071
82,2020,2,10,2,1990,50196
83,2020,2,23,0,1830,74071
84,2020,2,12,22,1950,76771
85,2020,2,21,6,1950,76771
86,2020,2,9,11,1999,71600
87,2020,2,22,1,1830,74071
88,2020,3,25,11,2050,50937
89,2020,2,25,9,1950,76771
90,2020,2,25,6,1830,74071
91,2020,2,21,20,1990,50196
92,2020,2,19,16,2450,39510
93,2020,4,2,6,1860,76771
94,2020,2,5,16,1990,50196
95,2020,2,22,1,1999,62801
96,2020,5,6,7,1940,65550
97,2020,2,8,18,1950,76771
98,2020,2,22,8,1990,50196
99,2020,4,9,11,1990,62271
100,2020,2,3,10,1890,74071
101,2020,2,14,4,1999,62801
102,2020,2,2,17,1999,71600
103,2020,4,3,12,2100,60069
104,2020,2,21,8,1999,71600
105,2020,2,10,19,1950,76771
106,2020,4,3,13,1920,62801
107,2020,2,21,16,1999,62801
108,2020,2,2,12,1950,76771
109,2020,2,6,5,1999,71600
110,2020,2,23,15,1999,62801
111,2020,4,2,3,1920,62801
112,2020,2,20,17,1999,71600
113,2020,2,5,3,1999,62801
114,2020,4,9,11,1830,74071
115,2020,2,20,6,1950,76771
116,2020,2,20,12,1830,74071
117,2020,4,2,3,2390,32000
118,2020,2,23,13,1950,76771
119,2020,2,10,18,1999,71600
120,2020,2,22,19,2100,73289
121,2020,4,3,13,2040,50196
122,2020,5,6,6,2290,30000
123,2020,2,24,21,1950,76771
124,2020,4,3,14,2050,50937
125,2020,2,7,10,1990,50196
126,2020,2,25,5,1990,50196
127,2020,4,9,10,1860,76771
128,2020,5,6,8,1980,62767
129,2020,3,25,12,2390,32000
130,2020,2,14,3,1999,71600
131,2020,2,9,19,1990,50196
132,2020,2,17,19,2390,32000
133,2020,2,25,2,2100,73289
134,2020,2,20,14,1990,50196
135,2020,2,25,11,1999,71600
136,2020,4,2,5,1460,92914
137,2020,4,3,13,2530,28600
138,2020,3,25,11,1950,76771
139,2020,2,5,16,1890,74071
140,2020,2,25,3,2390,32000
141,2020,2,14,1,1950,76771
142,2020,2,18,6,1830,74071
143,2020,2,10,12,1999,62801
144,2020,2,10,3,1890,74071
145,2020,4,9,10,2040,59705
146,2020,2,19,22,1950,76771
147,2020,4,9,11,1940,65550
148,2020,4,2,3,2100,60069
149,2020,4,3,12,1460,92914
150,2020,2,17,19,1999,71600
151,2020,4,3,15,1830,74071
152,2020,4,2,4,2050,50937
153,2020,4,3,13,1950,62767
154,2020,5,10,23,1980,62767
