No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,18,2830,15407
1,2020,2,20,1,2790,15407
2,2020,2,23,19,2790,15407
3,2020,2,21,9,2790,15407
4,2020,2,8,5,2830,15407
5,2020,2,14,9,2830,15407
6,2020,2,2,9,2830,15407
7,2020,2,22,16,2790,15407
8,2020,2,6,20,2830,15407
9,2020,2,13,3,2830,15407
10,2020,2,3,14,2830,15407
11,2020,2,12,18,2830,15407
12,2020,2,24,11,2790,15407
13,2020,2,5,19,2830,15407
14,2020,2,7,10,2830,15407
15,2020,2,4,12,2830,15407
16,2020,2,9,7,2830,15407
17,2020,2,19,15,2790,15407
18,2020,2,25,9,2790,15407
19,2020,2,18,8,2830,15407
20,2020,2,17,21,2830,15407
