No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,13,2030,39420
1,2020,2,12,17,2150,46500
2,2020,2,20,5,1840,79178
3,2020,2,21,22,2150,46500
4,2020,2,8,12,1880,79178
5,2020,2,19,18,1840,79178
6,2020,2,22,20,2150,46500
7,2020,2,3,13,2030,39420
8,2020,4,9,12,2000,39420
9,2020,2,12,13,2030,39420
10,2020,2,24,17,1840,79178
11,2020,2,17,18,1840,79178
12,2020,2,21,7,1840,79178
13,2020,2,23,11,1840,79178
14,2020,2,9,14,2150,46500
15,2020,4,3,14,2000,39420
16,2020,2,6,17,2150,46500
17,2020,2,6,6,2030,39420
18,2020,2,7,5,2030,39420
19,2020,2,13,16,2150,46500
20,2020,2,2,22,1880,79178
21,2020,4,9,11,1970,53500
22,2020,2,5,16,2030,39420
23,2020,2,9,19,2030,39420
24,2020,2,3,17,1880,79178
25,2020,2,24,20,2030,39420
26,2020,4,2,4,1970,53500
27,2020,2,23,6,2030,39420
28,2020,2,21,1,2030,39420
29,2020,4,3,14,1970,53500
30,2020,2,10,15,1880,79178
31,2020,4,2,3,2000,39420
32,2020,2,5,20,2150,46500
33,2020,2,9,6,1880,79178
34,2020,2,10,10,2150,46500
35,2020,2,4,20,1880,79178
36,2020,2,8,4,2030,39420
37,2020,2,13,8,2030,39420
38,2020,2,23,15,2150,46500
39,2020,2,2,8,2150,46500
40,2020,2,25,2,2030,39420
41,2020,2,6,15,1880,79178
42,2020,2,7,3,2150,46500
43,2020,2,5,18,1880,79178
44,2020,2,4,11,2150,46500
45,2020,2,13,9,1880,79178
46,2020,2,17,19,2150,46500
47,2020,2,7,17,1880,79178
48,2020,3,25,11,1970,53500
49,2020,2,14,3,2030,39420
50,2020,4,2,3,2100,46500
51,2020,2,12,7,1880,79178
52,2020,4,2,4,2010,58679
53,2020,5,6,7,1950,53500
54,2020,2,19,16,2150,46500
55,2020,2,10,10,2030,39420
56,2020,2,20,10,2150,46500
57,2020,2,24,18,2150,46500
58,2020,2,8,23,2150,46500
59,2020,2,22,22,1840,79178
60,2020,2,3,0,2150,46500
61,2020,2,19,20,2030,39420
62,2020,2,4,16,2030,39420
63,2020,2,22,0,2030,39420
64,2020,5,27,6,2290,51374
65,2020,2,25,5,1840,79178
66,2020,3,25,12,2100,46500
67,2020,2,25,5,2150,46500
68,2020,2,18,7,2150,46500
69,2020,2,14,5,1840,79178
70,2020,5,6,8,2050,46500
71,2020,2,14,1,2150,46500
72,2020,2,14,1,1880,79178
73,2020,2,20,21,2030,39420
74,2020,4,3,13,2100,46500
75,2020,2,18,5,2030,39420
76,2020,4,9,11,2390,53687
