No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,6,2530,37853
1,2020,2,23,14,2480,30638
2,2020,2,9,7,1900,129892
3,2020,2,3,7,2530,37853
4,2020,2,14,0,2530,37853
5,2020,2,12,3,2650,42912
6,2020,2,14,5,1900,129892
7,2020,2,23,10,2650,42912
8,2020,4,3,15,2030,84054
9,2020,2,13,19,1900,129892
10,2020,2,2,18,2480,30638
11,2020,2,7,19,1900,129892
12,2020,2,24,5,1900,129892
13,2020,2,21,4,2530,37853
14,2020,2,6,4,2530,37853
15,2020,2,24,22,2650,42912
16,2020,2,12,12,1900,129892
17,2020,2,8,10,1900,129892
18,2020,2,9,0,2530,37853
19,2020,2,10,14,2480,30638
20,2020,2,4,16,2480,30638
21,2020,2,22,20,1900,129892
22,2020,2,4,19,2650,42912
23,2020,2,8,12,2480,30638
24,2020,2,24,12,2530,37853
25,2020,5,6,9,1580,143627
26,2020,2,18,3,2480,30638
27,2020,2,22,17,2650,42912
28,2020,2,7,16,2530,37853
29,2020,2,13,21,2480,30638
30,2020,2,20,11,1900,129892
31,2020,2,14,8,2480,30638
32,2020,2,5,7,2480,30638
33,2020,2,6,7,2650,42912
34,2020,2,7,23,2480,30638
35,2020,2,5,14,2650,42912
36,2020,2,4,20,1900,129892
37,2020,2,23,10,1900,129892
38,2020,2,25,5,1900,129892
39,2020,2,12,13,2480,30638
40,2020,2,3,13,2480,30638
41,2020,2,20,7,2530,37853
42,2020,2,12,10,2530,37853
43,2020,2,14,2,2650,42912
44,2020,2,4,6,2530,37853
45,2020,2,19,16,2530,37853
46,2020,2,21,6,2480,30638
47,2020,2,3,2,1900,129892
48,2020,2,2,14,1900,129892
49,2020,2,18,6,1900,129892
50,2020,2,24,17,2480,30638
51,2020,4,9,11,2530,37853
52,2020,2,10,15,1900,129892
53,2020,2,8,2,2650,42912
54,2020,2,5,15,2530,37853
55,2020,2,2,10,2530,37853
56,2020,2,6,9,2480,30638
57,2020,2,2,9,2650,42912
58,2020,2,20,15,2480,30638
59,2020,2,8,6,2530,37853
60,2020,2,19,15,2650,42912
61,2020,2,13,16,2650,42912
62,2020,2,25,7,2650,42912
63,2020,2,18,5,2530,37853
64,2020,2,6,13,1900,129892
65,2020,2,21,10,2650,42912
66,2020,2,23,4,2530,37853
67,2020,2,7,10,2650,42912
68,2020,2,5,9,1900,129892
69,2020,4,2,6,2530,37853
70,2020,5,6,7,2190,64758
71,2020,2,21,9,1900,129892
72,2020,2,17,21,2650,42912
73,2020,2,3,19,2650,42912
74,2020,2,17,14,1900,129892
75,2020,2,9,9,2480,30638
76,2020,2,9,17,2650,42912
77,2020,2,22,13,2480,30638
78,2020,2,10,3,2650,42912
79,2020,2,10,12,2530,37853
80,2020,2,25,5,2530,37853
81,2020,4,9,11,2250,64758
82,2020,2,22,19,2530,37853
83,2020,5,27,6,1540,143627
84,2020,2,25,2,2480,30638
85,2020,2,17,21,2530,37853
86,2020,2,19,19,1900,129892
