No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,22,430,78000
1,2020,2,20,10,610,52871
2,2020,2,6,1,599,55899
3,2020,2,23,13,599,55899
4,2020,2,9,3,430,78000
5,2020,2,20,17,480,101897
6,2020,2,7,17,510,106071
7,2020,2,14,2,590,59046
8,2020,2,3,23,600,40924
9,2020,2,24,22,599,55899
10,2020,2,12,20,490,78500
11,2020,2,20,20,599,55899
12,2020,2,3,21,610,52871
13,2020,2,12,10,540,88498
14,2020,2,23,13,510,106071
15,2020,2,6,9,480,109634
16,2020,2,9,14,510,106071
17,2020,2,12,23,510,106071
18,2020,2,14,7,430,78000
19,2020,2,12,21,480,109634
20,2020,2,3,17,590,59046
21,2020,2,24,7,430,78000
22,2020,2,24,16,600,40924
23,2020,2,4,14,590,59046
24,2020,2,14,0,599,55899
25,2020,2,8,2,540,88498
26,2020,2,7,1,480,109634
27,2020,2,23,15,540,88498
28,2020,2,13,11,610,52871
29,2020,2,24,1,480,101897
30,2020,2,24,11,540,88498
31,2020,2,7,8,610,52871
32,2020,2,21,1,600,40924
33,2020,2,13,19,599,55899
34,2020,3,25,10,550,105506
35,2020,2,7,10,540,88498
36,2020,2,10,13,590,59046
37,2020,2,23,23,480,101897
38,2020,2,12,23,599,55899
39,2020,2,18,7,480,101897
40,2020,2,3,20,490,78500
41,2020,2,20,3,430,78000
42,2020,2,6,21,460,78000
43,2020,2,21,10,480,109634
44,2020,2,21,11,590,59046
45,2020,2,21,22,430,78000
46,2020,2,4,19,490,78500
47,2020,2,21,1,480,101897
48,2020,2,5,14,610,52871
49,2020,2,3,2,540,88498
50,2020,2,7,2,590,59046
51,2020,2,25,7,490,78500
52,2020,2,13,2,540,88498
53,2020,2,14,8,510,106071
54,2020,2,13,23,480,109634
55,2020,2,12,15,600,40924
56,2020,2,13,14,510,106071
57,2020,2,9,8,599,55899
58,2020,2,19,14,599,55899
59,2020,2,5,18,490,78500
60,2020,2,6,0,490,78500
61,2020,2,3,5,460,78000
62,2020,2,4,13,480,109634
63,2020,2,2,16,590,59046
64,2020,2,12,16,430,78000
65,2020,2,6,12,610,52871
66,2020,2,5,10,590,59046
67,2020,2,21,0,599,55899
68,2020,2,14,10,480,109634
69,2020,2,9,18,600,40924
70,2020,2,9,8,480,109634
71,2020,2,5,4,460,78000
72,2020,2,13,16,600,40924
73,2020,2,12,20,610,52871
74,2020,2,20,20,480,109634
75,2020,2,6,11,540,88498
76,2020,2,18,4,480,109634
77,2020,2,8,17,430,78000
78,2020,2,8,16,490,78500
79,2020,2,18,7,590,59046
80,2020,2,22,23,510,106071
81,2020,2,6,8,590,59046
82,2020,2,5,5,600,40924
83,2020,2,13,10,590,59046
84,2020,2,2,23,599,55899
85,2020,2,2,20,460,78000
86,2020,2,7,15,599,55899
87,2020,2,20,2,600,40924
88,2020,2,7,18,460,78000
89,2020,2,23,0,590,59046
90,2020,4,2,4,480,101897
91,2020,2,24,18,490,78500
92,2020,2,14,1,490,78500
93,2020,2,22,21,430,78000
94,2020,2,4,2,610,52871
95,2020,2,24,7,510,106071
96,2020,3,25,12,480,101897
97,2020,2,22,14,590,59046
98,2020,2,10,12,510,106071
99,2020,2,5,6,480,109634
100,2020,2,24,4,480,109634
101,2020,2,22,19,600,40924
102,2020,2,19,18,510,106071
103,2020,2,4,7,540,88498
104,2020,2,25,5,599,55899
105,2020,2,21,14,610,52871
106,2020,2,25,3,430,78000
107,2020,2,9,1,610,52871
108,2020,2,24,15,610,52871
109,2020,2,12,5,590,59046
110,2020,2,9,22,490,78500
111,2020,2,22,23,480,109634
112,2020,2,5,6,540,88498
113,2020,2,6,5,600,40924
114,2020,5,27,6,490,85723
115,2020,2,2,17,600,40924
116,2020,2,8,12,510,106071
117,2020,2,2,12,610,52871
118,2020,2,10,1,480,109634
119,2020,2,21,22,510,106071
120,2020,2,19,14,540,88498
121,2020,2,25,4,570,47360
122,2020,2,4,14,600,40924
123,2020,2,8,14,599,55899
124,2020,2,25,10,480,101897
125,2020,2,27,12,480,101897
126,2020,2,5,18,599,55899
127,2020,2,9,13,540,88498
128,2020,2,3,11,480,109634
129,2020,2,2,21,480,109634
130,2020,2,7,15,490,78500
131,2020,2,18,3,430,78000
132,2020,2,20,23,590,59046
133,2020,4,3,14,480,101897
134,2020,2,8,4,610,52871
