No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,4,399,166800
1,2020,2,9,9,430,166800
2,2020,2,7,11,430,166800
3,2020,2,14,8,399,166800
4,2020,2,6,2,430,166800
5,2020,2,8,1,430,166800
6,2020,2,5,15,430,166800
7,2020,2,12,7,399,166800
8,2020,2,2,23,450,166800
9,2020,2,24,5,399,166800
10,2020,2,12,4,430,166800
11,2020,2,20,13,399,166800
12,2020,2,17,21,399,166800
13,2020,2,21,7,399,166800
14,2020,2,4,7,430,166800
15,2020,2,25,1,399,166800
16,2020,2,10,7,430,166800
17,2020,2,18,6,399,166800
18,2020,2,3,8,430,166800
19,2020,2,3,2,450,166800
20,2020,2,23,4,399,166800
21,2020,2,22,9,399,166800
22,2020,2,19,11,399,166800
