No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,14,500,45667
1,2020,2,22,10,490,50963
2,2020,2,12,6,500,45667
3,2020,2,18,7,480,22718
4,2020,2,6,10,490,50963
5,2020,2,13,4,500,45667
6,2020,2,9,17,480,22718
7,2020,2,14,2,490,50963
8,2020,2,3,13,480,22718
9,2020,2,10,7,500,45667
10,2020,2,2,15,490,50963
11,2020,2,14,7,480,22718
12,2020,2,3,17,490,50963
13,2020,2,4,15,490,50963
14,2020,2,24,4,500,45667
15,2020,2,21,7,480,22718
16,2020,2,6,22,500,45667
17,2020,2,7,5,490,50963
18,2020,2,2,15,480,22718
19,2020,2,5,9,480,22718
20,2020,2,4,5,480,22718
21,2020,2,22,21,500,45667
22,2020,2,18,9,490,50963
23,2020,2,23,2,480,22718
24,2020,2,20,20,490,50963
25,2020,2,24,21,480,22718
26,2020,2,19,21,480,22718
27,2020,2,3,8,500,45667
28,2020,2,13,15,490,50963
29,2020,2,8,9,480,22718
30,2020,2,19,16,490,50963
31,2020,2,12,5,490,50963
32,2020,2,20,1,480,22718
33,2020,2,23,2,500,45667
34,2020,2,7,4,500,45667
35,2020,2,10,11,490,50963
36,2020,2,8,11,490,50963
37,2020,2,9,13,500,45667
38,2020,2,21,2,500,45667
39,2020,2,5,12,500,45667
40,2020,4,9,11,490,50963
41,2020,4,3,15,480,45667
42,2020,2,10,12,480,22718
43,2020,2,13,23,480,22718
44,2020,2,22,8,480,22718
45,2020,4,2,5,490,50963
46,2020,2,7,7,480,22718
47,2020,2,12,15,480,22718
48,2020,2,17,18,480,22718
49,2020,2,14,1,500,45667
50,2020,2,4,7,500,45667
51,2020,2,24,14,490,50963
52,2020,2,19,11,500,45667
53,2020,2,18,8,500,45667
54,2020,2,6,6,480,22718
55,2020,4,23,2,490,50963
56,2020,2,5,19,490,50963
57,2020,2,9,12,490,50963
58,2020,2,21,18,490,50963
59,2020,4,3,13,490,50963
60,2020,2,20,2,500,45667
61,2020,2,17,20,500,45667
62,2020,2,23,1,490,50963
63,2020,3,25,13,480,45667
64,2020,2,25,8,490,50963
65,2020,2,25,2,480,22718
